Comuna;FECHA_INMUNIZACION;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio
Curacaví;2023-04-12;EPRO;1;Personas mayores de 65 años y más;Occidente
Curacaví;2023-04-12;Única;41;Personas mayores de 65 años y más;Occidente
Curacaví;2023-04-13;Única;55;Personas mayores de 65 años y más;Occidente
Curacaví;2023-04-14;Única;39;Personas mayores de 65 años y más;Occidente
El Bosque;2023-03-15;Única;144;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-16;Única;128;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-17;Única;797;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-18;Única;117;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-20;Única;874;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-21;Única;821;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-22;Única;676;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-23;Única;661;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-24;Única;421;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-25;Única;200;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-27;Única;546;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-28;Única;529;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-29;Única;468;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-30;Única;497;Personas mayores de 65 años y más;Sur
El Bosque;2023-03-31;Única;342;Personas mayores de 65 años y más;Sur
El Bosque;2023-04-01;Única;180;Personas mayores de 65 años y más;Sur
El Bosque;2023-04-03;Única;411;Personas mayores de 65 años y más;Sur
El Bosque;2023-04-04;Única;347;Personas mayores de 65 años y más;Sur
El Bosque;2023-04-05;Única;276;Personas mayores de 65 años y más;Sur
El Bosque;2023-04-06;Única;287;Personas mayores de 65 años y más;Sur
El Bosque;2023-04-10;Única;266;Personas mayores de 65 años y más;Sur
El Bosque;2023-04-11;Única;248;Personas mayores de 65 años y más;Sur
El Bosque;2023-04-12;Única;293;Personas mayores de 65 años y más;Sur
El Bosque;2023-04-13;Única;258;Personas mayores de 65 años y más;Sur
El Bosque;2023-04-14;Única;159;Personas mayores de 65 años y más;Sur
El Bosque;2023-04-15;Única;57;Personas mayores de 65 años y más;Sur
El Monte;2023-03-15;Única;15;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-16;Única;18;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-17;Única;30;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-18;Única;9;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-20;Única;77;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-21;Única;69;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-22;Única;63;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-23;Única;63;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-24;Única;55;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-25;Única;10;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-27;Única;77;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-28;Única;81;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-29;Única;86;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-30;Única;46;Personas mayores de 65 años y más;Occidente
El Monte;2023-03-31;Única;75;Personas mayores de 65 años y más;Occidente
El Monte;2023-04-01;Única;17;Personas mayores de 65 años y más;Occidente
El Monte;2023-04-03;Única;59;Personas mayores de 65 años y más;Occidente
El Monte;2023-04-04;Única;59;Personas mayores de 65 años y más;Occidente
El Monte;2023-04-05;Única;56;Personas mayores de 65 años y más;Occidente
El Monte;2023-04-06;Única;48;Personas mayores de 65 años y más;Occidente
El Monte;2023-04-10;Única;31;Personas mayores de 65 años y más;Occidente
El Monte;2023-04-11;Única;52;Personas mayores de 65 años y más;Occidente
El Monte;2023-04-12;Única;70;Personas mayores de 65 años y más;Occidente
El Monte;2023-04-13;Única;59;Personas mayores de 65 años y más;Occidente
El Monte;2023-04-14;Única;69;Personas mayores de 65 años y más;Occidente
El Monte;2023-04-15;Única;8;Personas mayores de 65 años y más;Occidente
Estación Central;2023-03-15;Única;185;Personas mayores de 65 años y más;Central
Estación Central;2023-03-16;Única;304;Personas mayores de 65 años y más;Central
Estación Central;2023-03-17;Única;242;Personas mayores de 65 años y más;Central
Estación Central;2023-03-18;Única;7;Personas mayores de 65 años y más;Central
Estación Central;2023-03-20;Única;331;Personas mayores de 65 años y más;Central
Estación Central;2023-03-21;EPRO;1;Personas mayores de 65 años y más;Central
Estación Central;2023-03-21;Única;322;Personas mayores de 65 años y más;Central
Estación Central;2023-03-22;Única;425;Personas mayores de 65 años y más;Central
Estación Central;2023-03-23;Única;484;Personas mayores de 65 años y más;Central
Estación Central;2023-03-24;Única;376;Personas mayores de 65 años y más;Central
Estación Central;2023-03-25;Única;12;Personas mayores de 65 años y más;Central
Estación Central;2023-03-27;Única;363;Personas mayores de 65 años y más;Central
Estación Central;2023-03-28;Única;412;Personas mayores de 65 años y más;Central
Estación Central;2023-03-29;EPRO;2;Personas mayores de 65 años y más;Central
Estación Central;2023-03-29;Única;259;Personas mayores de 65 años y más;Central
Estación Central;2023-03-30;Única;409;Personas mayores de 65 años y más;Central
Estación Central;2023-03-31;Única;168;Personas mayores de 65 años y más;Central
Estación Central;2023-04-01;Única;23;Personas mayores de 65 años y más;Central
Estación Central;2023-04-03;Única;317;Personas mayores de 65 años y más;Central
Estación Central;2023-04-04;Única;261;Personas mayores de 65 años y más;Central
Estación Central;2023-04-05;Única;258;Personas mayores de 65 años y más;Central
Estación Central;2023-04-06;Única;126;Personas mayores de 65 años y más;Central
Estación Central;2023-04-10;Única;202;Personas mayores de 65 años y más;Central
Estación Central;2023-04-11;Única;163;Personas mayores de 65 años y más;Central
Estación Central;2023-04-12;Única;169;Personas mayores de 65 años y más;Central
Estación Central;2023-04-13;Única;272;Personas mayores de 65 años y más;Central
Estación Central;2023-04-14;Única;94;Personas mayores de 65 años y más;Central
Estación Central;2023-04-15;Única;11;Personas mayores de 65 años y más;Central
Huechuraba;2023-03-15;Única;203;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-16;Única;372;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-17;Única;281;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-18;Única;79;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-19;Única;59;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-20;Única;325;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-21;Única;380;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-22;Única;341;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-23;Única;275;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-24;Única;226;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-25;Única;81;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-27;Única;218;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-28;Única;226;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-29;Única;204;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-30;Única;231;Personas mayores de 65 años y más;Norte
Huechuraba;2023-03-31;Única;161;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-01;Única;15;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-02;Única;42;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-03;Única;200;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-04;Única;174;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-05;Única;158;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-06;Única;151;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-10;EPRO;1;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-10;Única;153;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-11;Única;144;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-12;Única;110;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-13;Única;143;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-14;Única;102;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-15;Única;66;Personas mayores de 65 años y más;Norte
Huechuraba;2023-04-16;Única;6;Personas mayores de 65 años y más;Norte
Independencia;2023-03-15;Única;64;Personas mayores de 65 años y más;Norte
Independencia;2023-03-16;Única;82;Personas mayores de 65 años y más;Norte
Independencia;2023-03-17;Única;285;Personas mayores de 65 años y más;Norte
Independencia;2023-03-18;Única;15;Personas mayores de 65 años y más;Norte
Independencia;2023-03-20;Única;589;Personas mayores de 65 años y más;Norte
Independencia;2023-03-21;Única;465;Personas mayores de 65 años y más;Norte
Independencia;2023-03-22;Única;311;Personas mayores de 65 años y más;Norte
Independencia;2023-03-23;Única;332;Personas mayores de 65 años y más;Norte
Independencia;2023-03-24;Única;385;Personas mayores de 65 años y más;Norte
Independencia;2023-03-25;Única;41;Personas mayores de 65 años y más;Norte
Independencia;2023-03-26;Única;4;Personas mayores de 65 años y más;Norte
Independencia;2023-03-27;Única;277;Personas mayores de 65 años y más;Norte
Independencia;2023-03-28;Única;303;Personas mayores de 65 años y más;Norte
Independencia;2023-03-29;Única;261;Personas mayores de 65 años y más;Norte
Independencia;2023-03-30;Única;295;Personas mayores de 65 años y más;Norte
Independencia;2023-03-31;Única;188;Personas mayores de 65 años y más;Norte
Independencia;2023-04-01;Única;8;Personas mayores de 65 años y más;Norte
Independencia;2023-04-03;EPRO;1;Personas mayores de 65 años y más;Norte
Independencia;2023-04-03;Única;271;Personas mayores de 65 años y más;Norte
Independencia;2023-04-04;Única;202;Personas mayores de 65 años y más;Norte
Independencia;2023-04-05;Única;174;Personas mayores de 65 años y más;Norte
Independencia;2023-04-06;Única;166;Personas mayores de 65 años y más;Norte
Independencia;2023-04-08;Única;9;Personas mayores de 65 años y más;Norte
Independencia;2023-04-10;Única;141;Personas mayores de 65 años y más;Norte
Independencia;2023-04-11;Única;151;Personas mayores de 65 años y más;Norte
Independencia;2023-04-12;Única;158;Personas mayores de 65 años y más;Norte
Independencia;2023-04-13;Única;133;Personas mayores de 65 años y más;Norte
Independencia;2023-04-14;Única;112;Personas mayores de 65 años y más;Norte
Independencia;2023-04-15;Única;54;Personas mayores de 65 años y más;Norte
Isla de Maipo;2023-03-15;Única;51;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-16;Única;72;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-17;Única;114;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-20;Única;186;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-21;Única;147;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-22;Única;182;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-23;Única;163;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-24;Única;93;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-27;Única;111;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-28;EPRO;1;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-28;Única;91;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-29;Única;114;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-30;Única;117;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-03-31;Única;88;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-04-03;EPRO;1;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-04-03;Única;133;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-04-04;Única;82;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-04-05;Única;87;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-04-06;Única;51;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-04-10;Única;67;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-04-11;Única;78;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-04-12;Única;38;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-04-13;Única;62;Personas mayores de 65 años y más;Occidente
Isla de Maipo;2023-04-14;Única;39;Personas mayores de 65 años y más;Occidente
La Cisterna;2023-03-15;Única;190;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-16;Única;129;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-17;Única;205;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-18;Única;64;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-20;Única;404;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-21;Única;347;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-22;Única;363;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-23;Única;395;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-24;Única;275;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-25;Única;49;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-27;Única;382;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-28;Única;311;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-29;Única;236;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-30;Única;359;Personas mayores de 65 años y más;Sur
La Cisterna;2023-03-31;Única;244;Personas mayores de 65 años y más;Sur
La Cisterna;2023-04-01;Única;71;Personas mayores de 65 años y más;Sur
La Cisterna;2023-04-03;Única;279;Personas mayores de 65 años y más;Sur
La Cisterna;2023-04-04;Única;251;Personas mayores de 65 años y más;Sur
La Cisterna;2023-04-05;Única;263;Personas mayores de 65 años y más;Sur
La Cisterna;2023-04-06;Única;177;Personas mayores de 65 años y más;Sur
La Cisterna;2023-04-10;Única;212;Personas mayores de 65 años y más;Sur
La Cisterna;2023-04-11;Única;208;Personas mayores de 65 años y más;Sur
La Cisterna;2023-04-12;Única;195;Personas mayores de 65 años y más;Sur
La Cisterna;2023-04-13;EPRO;1;Personas mayores de 65 años y más;Sur
La Cisterna;2023-04-13;Única;189;Personas mayores de 65 años y más;Sur
La Cisterna;2023-04-14;Única;158;Personas mayores de 65 años y más;Sur
La Cisterna;2023-04-15;Única;73;Personas mayores de 65 años y más;Sur
La Florida;2023-03-15;EPRO;1;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-15;Única;610;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-16;Única;753;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-17;Única;791;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-18;Única;1;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-20;Única;1506;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-21;Única;1321;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-22;Única;1167;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-23;Única;1168;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-24;Única;987;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-27;Única;1207;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-28;Única;1041;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-29;Única;1040;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-30;Única;1003;Personas mayores de 65 años y más;Suroriente
La Florida;2023-03-31;Única;958;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-01;Única;5;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-03;EPRO;1;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-03;Única;1088;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-04;EPRO;1;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-04;Única;1040;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-05;Única;1088;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-06;Única;939;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-10;Única;815;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-11;Única;869;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-12;Única;816;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-13;Única;744;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-14;Única;620;Personas mayores de 65 años y más;Suroriente
La Florida;2023-04-15;Única;5;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-15;Única;286;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-16;Única;496;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-17;Única;295;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-18;Única;45;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-20;Única;590;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-21;Única;513;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-22;Única;467;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-23;Única;467;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-24;Única;348;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-25;Única;57;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-27;Única;423;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-28;Única;377;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-29;Única;356;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-30;Única;432;Personas mayores de 65 años y más;Suroriente
La Granja;2023-03-31;Única;284;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-01;Única;28;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-03;Única;401;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-04;Única;369;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-05;EPRO;1;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-05;Única;290;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-06;Única;226;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-10;Única;250;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-11;Única;237;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-12;Única;263;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-13;EPRO;1;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-13;Única;227;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-14;EPRO;1;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-14;Única;113;Personas mayores de 65 años y más;Suroriente
La Granja;2023-04-15;Única;33;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-15;Única;112;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-16;Única;155;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-17;Única;253;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-18;Única;13;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-20;Única;383;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-21;Única;408;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-22;Única;409;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-23;Única;342;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-24;Única;248;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-25;Única;29;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-26;Única;1;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-27;Única;389;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-28;Única;349;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-29;Única;378;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-30;Única;420;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-03-31;Única;236;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-04-01;Única;35;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-04-03;Única;344;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-04-04;Única;328;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-04-05;Única;292;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-04-06;Única;251;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-04-10;Única;278;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-04-11;Única;260;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-04-12;Única;232;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-04-13;Única;228;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-04-14;Única;169;Personas mayores de 65 años y más;Suroriente
La Pintana;2023-04-15;Única;51;Personas mayores de 65 años y más;Suroriente
La Reina;2023-03-15;Única;125;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-16;Única;125;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-17;Única;178;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-18;Única;58;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-20;Única;350;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-21;EPRO;1;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-21;Única;409;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-22;Única;370;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-23;Única;338;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-24;Única;277;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-25;Única;8;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-27;Única;297;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-28;Única;289;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-29;Única;275;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-30;Única;265;Personas mayores de 65 años y más;Oriente
La Reina;2023-03-31;Única;265;Personas mayores de 65 años y más;Oriente
La Reina;2023-04-01;Única;10;Personas mayores de 65 años y más;Oriente
La Reina;2023-04-03;Única;250;Personas mayores de 65 años y más;Oriente
La Reina;2023-04-04;Única;295;Personas mayores de 65 años y más;Oriente
La Reina;2023-04-05;Única;263;Personas mayores de 65 años y más;Oriente
La Reina;2023-04-06;Única;254;Personas mayores de 65 años y más;Oriente
La Reina;2023-04-10;Única;220;Personas mayores de 65 años y más;Oriente
La Reina;2023-04-11;Única;255;Personas mayores de 65 años y más;Oriente
La Reina;2023-04-12;Única;254;Personas mayores de 65 años y más;Oriente
La Reina;2023-04-13;Única;237;Personas mayores de 65 años y más;Oriente
La Reina;2023-04-14;Única;177;Personas mayores de 65 años y más;Oriente
La Reina;2023-04-15;Única;1;Personas mayores de 65 años y más;Oriente
Lampa;2023-03-15;Única;62;Personas mayores de 65 años y más;Norte
Lampa;2023-03-16;Única;64;Personas mayores de 65 años y más;Norte
Lampa;2023-03-17;Única;119;Personas mayores de 65 años y más;Norte
Lampa;2023-03-18;Única;26;Personas mayores de 65 años y más;Norte
Lampa;2023-03-20;Única;150;Personas mayores de 65 años y más;Norte
Lampa;2023-03-21;Única;274;Personas mayores de 65 años y más;Norte
Lampa;2023-03-22;Única;192;Personas mayores de 65 años y más;Norte
Lampa;2023-03-23;Única;239;Personas mayores de 65 años y más;Norte
Lampa;2023-03-24;Única;145;Personas mayores de 65 años y más;Norte
Lampa;2023-03-25;Única;44;Personas mayores de 65 años y más;Norte
Lampa;2023-03-27;Única;181;Personas mayores de 65 años y más;Norte
Lampa;2023-03-28;Única;194;Personas mayores de 65 años y más;Norte
Lampa;2023-03-29;Única;127;Personas mayores de 65 años y más;Norte
Lampa;2023-03-30;Única;102;Personas mayores de 65 años y más;Norte
Lampa;2023-03-31;Única;94;Personas mayores de 65 años y más;Norte
Lampa;2023-04-01;Única;46;Personas mayores de 65 años y más;Norte
Lampa;2023-04-03;Única;151;Personas mayores de 65 años y más;Norte
Lampa;2023-04-04;Única;120;Personas mayores de 65 años y más;Norte
Lampa;2023-04-05;Única;114;Personas mayores de 65 años y más;Norte
Lampa;2023-04-06;Única;104;Personas mayores de 65 años y más;Norte
Lampa;2023-04-10;Única;94;Personas mayores de 65 años y más;Norte
Lampa;2023-04-11;Única;88;Personas mayores de 65 años y más;Norte
Lampa;2023-04-12;Única;104;Personas mayores de 65 años y más;Norte
Lampa;2023-04-13;Única;77;Personas mayores de 65 años y más;Norte
Lampa;2023-04-14;Única;57;Personas mayores de 65 años y más;Norte
Lampa;2023-04-15;Única;21;Personas mayores de 65 años y más;Norte
Las Condes;2023-03-15;Única;549;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-16;Única;676;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-17;Única;688;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-18;Única;247;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-20;Única;1264;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-21;Única;1315;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-22;Única;1149;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-23;Única;1198;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-24;Única;914;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-25;Única;234;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-27;Única;1178;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-28;Única;1148;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-29;Única;1023;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-30;Única;1157;Personas mayores de 65 años y más;Oriente
Las Condes;2023-03-31;Única;956;Personas mayores de 65 años y más;Oriente
Las Condes;2023-04-01;Única;228;Personas mayores de 65 años y más;Oriente
Las Condes;2023-04-03;Única;887;Personas mayores de 65 años y más;Oriente
Las Condes;2023-04-04;Única;918;Personas mayores de 65 años y más;Oriente
Las Condes;2023-04-05;EPRO;1;Personas mayores de 65 años y más;Oriente
Las Condes;2023-04-05;Única;784;Personas mayores de 65 años y más;Oriente
Las Condes;2023-04-06;Única;725;Personas mayores de 65 años y más;Oriente
Las Condes;2023-04-10;Única;716;Personas mayores de 65 años y más;Oriente
Las Condes;2023-04-11;Única;754;Personas mayores de 65 años y más;Oriente
Las Condes;2023-04-12;Única;783;Personas mayores de 65 años y más;Oriente
Las Condes;2023-04-13;Única;708;Personas mayores de 65 años y más;Oriente
Las Condes;2023-04-14;Única;616;Personas mayores de 65 años y más;Oriente
Las Condes;2023-04-15;Única;22;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-15;Única;249;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-16;Única;180;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-17;Única;237;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-18;Única;8;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-20;Única;437;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-21;Única;244;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-22;Única;222;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-23;Única;206;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-24;Única;189;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-25;Única;9;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-27;Única;201;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-28;Única;196;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-29;Única;199;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-30;Única;229;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-03-31;Única;57;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-04-01;Única;14;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-04-03;Única;225;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-04-04;Única;199;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-04-05;Única;192;Personas mayores de 65 años y más;Oriente
Lo Barnechea;2023-04-06;Única;166;Personas mayores de 65 años y más;Oriente
