Servicio;Comuna;CODIGO_DEIS;Establecimiento;Criterio_elegibilidad;N° de vacunados;Código Antiguo ;latitud;longitud
Norte;Recoleta;09-304;Centro de Salud Familiar Valdivieso;P. de salud: Privado;4;09-304;-33.410322;-70.631219
Norte;Recoleta;09-304;Centro de Salud Familiar Valdivieso;P. de salud: Público;233;09-304;-33.410322;-70.631219
Norte;Recoleta;09-304;Centro de Salud Familiar Valdivieso;Personas mayores de 65 años y más;545;09-304;-33.410322;-70.631219
Norte;Recoleta;09-304;Centro de Salud Familiar Valdivieso;Población General;1398;09-304;-33.410322;-70.631219
Norte;Recoleta;09-304;Centro de Salud Familiar Valdivieso;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;32;09-304;-33.410322;-70.631219
Norte;Recoleta;09-307;Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);Embarazadas;38;09-307;-33.384392;-70.644939
Norte;Recoleta;09-307;Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);Enfermos cronicos de 11 a 64 años de edad;445;09-307;-33.384392;-70.644939
Norte;Recoleta;09-307;Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);Escolares de 1° a 5° año básico;27;09-307;-33.384392;-70.644939
Norte;Recoleta;09-307;Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);Estrategia Capullo;3;09-307;-33.384392;-70.644939
Norte;Recoleta;09-307;Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);Niños y niñas de 6 meses a 5 años de edad;218;09-307;-33.384392;-70.644939
Norte;Recoleta;09-307;Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);P. de salud: Privado;7;09-307;-33.384392;-70.644939
Norte;Recoleta;09-307;Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);P. de salud: Público;89;09-307;-33.384392;-70.644939
Norte;Recoleta;09-307;Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);Personas mayores de 65 años y más;781;09-307;-33.384392;-70.644939
Norte;Recoleta;09-307;Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);Población General;1602;09-307;-33.384392;-70.644939
Norte;Recoleta;09-307;Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie);Trabajadores de la educación  preescolar y escolar hasta 5° año básico;17;09-307;-33.384392;-70.644939
Norte;Recoleta;09-390;Centro de Salud Familiar Cristo Vive (ONG);Embarazadas;31;09-390;-33.387053;-70.641803
Norte;Recoleta;09-390;Centro de Salud Familiar Cristo Vive (ONG);Enfermos cronicos de 11 a 64 años de edad;920;09-390;-33.387053;-70.641803
Norte;Recoleta;09-390;Centro de Salud Familiar Cristo Vive (ONG);Escolares de 1° a 5° año básico;63;09-390;-33.387053;-70.641803
Norte;Recoleta;09-390;Centro de Salud Familiar Cristo Vive (ONG);Estrategia Capullo;10;09-390;-33.387053;-70.641803
Norte;Recoleta;09-390;Centro de Salud Familiar Cristo Vive (ONG);Niños y niñas de 6 meses a 5 años de edad;178;09-390;-33.387053;-70.641803
Norte;Recoleta;09-390;Centro de Salud Familiar Cristo Vive (ONG);Otras prioridades;2;09-390;-33.387053;-70.641803
Norte;Recoleta;09-390;Centro de Salud Familiar Cristo Vive (ONG);P. de salud: Privado;2;09-390;-33.387053;-70.641803
Norte;Recoleta;09-390;Centro de Salud Familiar Cristo Vive (ONG);P. de salud: Público;166;09-390;-33.387053;-70.641803
Norte;Recoleta;09-390;Centro de Salud Familiar Cristo Vive (ONG);Personas mayores de 65 años y más;1694;09-390;-33.387053;-70.641803
Norte;Recoleta;09-390;Centro de Salud Familiar Cristo Vive (ONG);Población General;3088;09-390;-33.387053;-70.641803
Norte;Recoleta;09-390;Centro de Salud Familiar Cristo Vive (ONG);Trabajadores de la educación  preescolar y escolar hasta 5° año básico;12;09-390;-33.387053;-70.641803
Norte;Tiltil;09-104;Hospital de Til Til;Embarazadas;14;09-104;-33.086793;-70.924522
Norte;Tiltil;09-104;Hospital de Til Til;Enfermos cronicos de 11 a 64 años de edad;238;09-104;-33.086793;-70.924522
Norte;Tiltil;09-104;Hospital de Til Til;Escolares de 1° a 5° año básico;10;09-104;-33.086793;-70.924522
Norte;Tiltil;09-104;Hospital de Til Til;Estrategia Capullo;9;09-104;-33.086793;-70.924522
Norte;Tiltil;09-104;Hospital de Til Til;Niños y niñas de 6 meses a 5 años de edad;37;09-104;-33.086793;-70.924522
Norte;Tiltil;09-104;Hospital de Til Til;Otras prioridades;43;09-104;-33.086793;-70.924522
Norte;Tiltil;09-104;Hospital de Til Til;P. de salud: Privado;3;09-104;-33.086793;-70.924522
Norte;Tiltil;09-104;Hospital de Til Til;P. de salud: Público;113;09-104;-33.086793;-70.924522
Norte;Tiltil;09-104;Hospital de Til Til;Personas mayores de 65 años y más;307;09-104;-33.086793;-70.924522
Norte;Tiltil;09-104;Hospital de Til Til;Población General;774;09-104;-33.086793;-70.924522
Norte;Tiltil;09-104;Hospital de Til Til;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;7;09-104;-33.086793;-70.924522
Norte;Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Embarazadas;18;09-320;-33.135821;-70.799456
Norte;Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Enfermos cronicos de 11 a 64 años de edad;266;09-320;-33.135821;-70.799456
Norte;Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Escolares de 1° a 5° año básico;346;09-320;-33.135821;-70.799456
Norte;Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Estrategia Capullo;2;09-320;-33.135821;-70.799456
Norte;Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Niños y niñas de 6 meses a 5 años de edad;172;09-320;-33.135821;-70.799456
Norte;Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Otras prioridades;56;09-320;-33.135821;-70.799456
Norte;Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;P. de salud: Privado;14;09-320;-33.135821;-70.799456
Norte;Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;P. de salud: Público;91;09-320;-33.135821;-70.799456
Norte;Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Personas mayores de 65 años y más;461;09-320;-33.135821;-70.799456
Norte;Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Población General;1519;09-320;-33.135821;-70.799456
Norte;Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Trabajadores de avícolas y de criaderos de cerdo;1;09-320;-33.135821;-70.799456
Norte;Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;96;09-320;-33.135821;-70.799456
Norte;Tiltil;09-410;Posta de Salud Rural La Capilla de Caleu;Enfermos cronicos de 11 a 64 años de edad;6;09-410;-33.002937;-70.995072
Norte;Tiltil;09-410;Posta de Salud Rural La Capilla de Caleu;Escolares de 1° a 5° año básico;12;09-410;-33.002937;-70.995072
Norte;Tiltil;09-410;Posta de Salud Rural La Capilla de Caleu;Niños y niñas de 6 meses a 5 años de edad;6;09-410;-33.002937;-70.995072
Norte;Tiltil;09-410;Posta de Salud Rural La Capilla de Caleu;Personas mayores de 65 años y más;10;09-410;-33.002937;-70.995072
Norte;Tiltil;09-410;Posta de Salud Rural La Capilla de Caleu;Población General;45;09-410;-33.002937;-70.995072
Norte;Tiltil;09-410;Posta de Salud Rural La Capilla de Caleu;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;11;09-410;-33.002937;-70.995072
Norte;Tiltil;09-412;Posta de Salud Rural Montenegro;Embarazadas;1;09-412;-32.966264;-70.835393
Norte;Tiltil;09-412;Posta de Salud Rural Montenegro;Enfermos cronicos de 11 a 64 años de edad;20;09-412;-32.966264;-70.835393
Norte;Tiltil;09-412;Posta de Salud Rural Montenegro;Escolares de 1° a 5° año básico;39;09-412;-32.966264;-70.835393
Norte;Tiltil;09-412;Posta de Salud Rural Montenegro;Niños y niñas de 6 meses a 5 años de edad;31;09-412;-32.966264;-70.835393
Norte;Tiltil;09-412;Posta de Salud Rural Montenegro;Otras prioridades;2;09-412;-32.966264;-70.835393
Norte;Tiltil;09-412;Posta de Salud Rural Montenegro;P. de salud: Público;1;09-412;-32.966264;-70.835393
Norte;Tiltil;09-412;Posta de Salud Rural Montenegro;Personas mayores de 65 años y más;36;09-412;-32.966264;-70.835393
Norte;Tiltil;09-412;Posta de Salud Rural Montenegro;Población General;149;09-412;-32.966264;-70.835393
Norte;Tiltil;09-412;Posta de Salud Rural Montenegro;Trabajadores de avícolas y de criaderos de cerdo;1;09-412;-32.966264;-70.835393
Norte;Tiltil;09-412;Posta de Salud Rural Montenegro;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;22;09-412;-32.966264;-70.835393
Norte;Tiltil;09-413;Posta de Salud Rural Rungue;Embarazadas;1;09-413;-33.008385;-70.892433
Norte;Tiltil;09-413;Posta de Salud Rural Rungue;Enfermos cronicos de 11 a 64 años de edad;2;09-413;-33.008385;-70.892433
Norte;Tiltil;09-413;Posta de Salud Rural Rungue;Escolares de 1° a 5° año básico;77;09-413;-33.008385;-70.892433
Norte;Tiltil;09-413;Posta de Salud Rural Rungue;Niños y niñas de 6 meses a 5 años de edad;31;09-413;-33.008385;-70.892433
Norte;Tiltil;09-413;Posta de Salud Rural Rungue;Personas mayores de 65 años y más;1;09-413;-33.008385;-70.892433
Norte;Tiltil;09-413;Posta de Salud Rural Rungue;Población General;137;09-413;-33.008385;-70.892433
Norte;Tiltil;09-413;Posta de Salud Rural Rungue;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;26;09-413;-33.008385;-70.892433
Occidente;Alhué;10-393;Centro de Salud Familiar Villa Alhué;Embarazadas;11;10-393;-34.032484;-71.100076
Occidente;Alhué;10-393;Centro de Salud Familiar Villa Alhué;Enfermos cronicos de 11 a 64 años de edad;331;10-393;-34.032484;-71.100076
Occidente;Alhué;10-393;Centro de Salud Familiar Villa Alhué;Escolares de 1° a 5° año básico;33;10-393;-34.032484;-71.100076
Occidente;Alhué;10-393;Centro de Salud Familiar Villa Alhué;Estrategia Capullo;5;10-393;-34.032484;-71.100076
Occidente;Alhué;10-393;Centro de Salud Familiar Villa Alhué;Niños y niñas de 6 meses a 5 años de edad;111;10-393;-34.032484;-71.100076
Occidente;Alhué;10-393;Centro de Salud Familiar Villa Alhué;Otras prioridades;18;10-393;-34.032484;-71.100076
Occidente;Alhué;10-393;Centro de Salud Familiar Villa Alhué;P. de salud: Privado;2;10-393;-34.032484;-71.100076
Occidente;Alhué;10-393;Centro de Salud Familiar Villa Alhué;P. de salud: Público;83;10-393;-34.032484;-71.100076
Occidente;Alhué;10-393;Centro de Salud Familiar Villa Alhué;Personas mayores de 65 años y más;350;10-393;-34.032484;-71.100076
Occidente;Alhué;10-393;Centro de Salud Familiar Villa Alhué;Población General;965;10-393;-34.032484;-71.100076
Occidente;Alhué;10-393;Centro de Salud Familiar Villa Alhué;Trabajadores de avícolas y de criaderos de cerdo;1;10-393;-34.032484;-71.100076
Occidente;Alhué;10-393;Centro de Salud Familiar Villa Alhué;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;11;10-393;-34.032484;-71.100076
Occidente;Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Embarazadas;16;10-330;-33.417518;-70.741198
Occidente;Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Enfermos cronicos de 11 a 64 años de edad;811;10-330;-33.417518;-70.741198
Occidente;Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Escolares de 1° a 5° año básico;64;10-330;-33.417518;-70.741198
Occidente;Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Estrategia Capullo;23;10-330;-33.417518;-70.741198
Occidente;Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Niños y niñas de 6 meses a 5 años de edad;261;10-330;-33.417518;-70.741198
Occidente;Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Otras prioridades;1;10-330;-33.417518;-70.741198
Occidente;Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;P. de salud: Privado;12;10-330;-33.417518;-70.741198
Occidente;Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;P. de salud: Público;72;10-330;-33.417518;-70.741198
Occidente;Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Personas mayores de 65 años y más;1018;10-330;-33.417518;-70.741198
Occidente;Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Población General;2290;10-330;-33.417518;-70.741198
Occidente;Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;14;10-330;-33.417518;-70.741198
Occidente;Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Embarazadas;29;10-331;-33.417581;-70.717399
Occidente;Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Enfermos cronicos de 11 a 64 años de edad;365;10-331;-33.417581;-70.717399
Occidente;Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Escolares de 1° a 5° año básico;50;10-331;-33.417581;-70.717399
Occidente;Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Niños y niñas de 6 meses a 5 años de edad;126;10-331;-33.417581;-70.717399
Occidente;Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Otras prioridades;2;10-331;-33.417581;-70.717399
Occidente;Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;P. de salud: Privado;4;10-331;-33.417581;-70.717399
Occidente;Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;P. de salud: Público;97;10-331;-33.417581;-70.717399
Occidente;Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Personas mayores de 65 años y más;591;10-331;-33.417581;-70.717399
Occidente;Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Población General;1246;10-331;-33.417581;-70.717399
Occidente;Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;3;10-331;-33.417581;-70.717399
Occidente;Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Embarazadas;43;10-335;-33.419555;-70.750834
Occidente;Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Enfermos cronicos de 11 a 64 años de edad;921;10-335;-33.419555;-70.750834
Occidente;Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Escolares de 1° a 5° año básico;81;10-335;-33.419555;-70.750834
Occidente;Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Niños y niñas de 6 meses a 5 años de edad;189;10-335;-33.419555;-70.750834
Occidente;Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Otras prioridades;1;10-335;-33.419555;-70.750834
Occidente;Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;P. de salud: Privado;11;10-335;-33.419555;-70.750834
Occidente;Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;P. de salud: Público;198;10-335;-33.419555;-70.750834
Occidente;Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Personas mayores de 65 años y más;1130;10-335;-33.419555;-70.750834
Occidente;Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Población General;2538;10-335;-33.419555;-70.750834
Occidente;Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;3;10-335;-33.419555;-70.750834
Occidente;Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Embarazadas;28;10-355;-33.433502;-70.731655
Occidente;Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Enfermos cronicos de 11 a 64 años de edad;601;10-355;-33.433502;-70.731655
Occidente;Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Escolares de 1° a 5° año básico;110;10-355;-33.433502;-70.731655
Occidente;Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Niños y niñas de 6 meses a 5 años de edad;144;10-355;-33.433502;-70.731655
Occidente;Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;P. de salud: Privado;3;10-355;-33.433502;-70.731655
Occidente;Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;P. de salud: Público;70;10-355;-33.433502;-70.731655
Occidente;Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Personas mayores de 65 años y más;868;10-355;-33.433502;-70.731655
Occidente;Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Población General;1802;10-355;-33.433502;-70.731655
Occidente;Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;3;10-355;-33.433502;-70.731655
Occidente;Curacaví;10-160;Hospital de Curacaví;Embarazadas;23;10-160;-33.4095;-71.145664
Occidente;Curacaví;10-160;Hospital de Curacaví;Enfermos cronicos de 11 a 64 años de edad;516;10-160;-33.4095;-71.145664
Occidente;Curacaví;10-160;Hospital de Curacaví;Escolares de 1° a 5° año básico;29;10-160;-33.4095;-71.145664
Occidente;Curacaví;10-160;Hospital de Curacaví;Estrategia Capullo;5;10-160;-33.4095;-71.145664
Occidente;Curacaví;10-160;Hospital de Curacaví;Niños y niñas de 6 meses a 5 años de edad;130;10-160;-33.4095;-71.145664
Occidente;Curacaví;10-160;Hospital de Curacaví;Otras prioridades;1;10-160;-33.4095;-71.145664
Occidente;Curacaví;10-160;Hospital de Curacaví;P. de salud: Privado;22;10-160;-33.4095;-71.145664
Occidente;Curacaví;10-160;Hospital de Curacaví;P. de salud: Público;172;10-160;-33.4095;-71.145664
Occidente;Curacaví;10-160;Hospital de Curacaví;Personas mayores de 65 años y más;995;10-160;-33.4095;-71.145664
Occidente;Curacaví;10-160;Hospital de Curacaví;Población General;1935;10-160;-33.4095;-71.145664
Occidente;Curacaví;10-160;Hospital de Curacaví;Trabajadores de avícolas y de criaderos de cerdo;42;10-160;-33.4095;-71.145664
Occidente;Curacaví;10-160;Hospital de Curacaví;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;3;10-160;-33.4095;-71.145664
Occidente;El Monte;10-370;Centro de Salud Familiar El Monte;Embarazadas;27;10-370;-33.681919;-70.986091
Occidente;El Monte;10-370;Centro de Salud Familiar El Monte;Enfermos cronicos de 11 a 64 años de edad;469;10-370;-33.681919;-70.986091
Occidente;El Monte;10-370;Centro de Salud Familiar El Monte;Escolares de 1° a 5° año básico;74;10-370;-33.681919;-70.986091
Occidente;El Monte;10-370;Centro de Salud Familiar El Monte;Estrategia Capullo;1;10-370;-33.681919;-70.986091
Occidente;El Monte;10-370;Centro de Salud Familiar El Monte;Niños y niñas de 6 meses a 5 años de edad;154;10-370;-33.681919;-70.986091
Occidente;El Monte;10-370;Centro de Salud Familiar El Monte;Otras prioridades;9;10-370;-33.681919;-70.986091
Occidente;El Monte;10-370;Centro de Salud Familiar El Monte;P. de salud: Privado;6;10-370;-33.681919;-70.986091
Occidente;El Monte;10-370;Centro de Salud Familiar El Monte;P. de salud: Público;201;10-370;-33.681919;-70.986091
Occidente;El Monte;10-370;Centro de Salud Familiar El Monte;Personas mayores de 65 años y más;758;10-370;-33.681919;-70.986091
Occidente;El Monte;10-370;Centro de Salud Familiar El Monte;Población General;2120;10-370;-33.681919;-70.986091
Occidente;El Monte;10-370;Centro de Salud Familiar El Monte;Trabajadores de avícolas y de criaderos de cerdo;404;10-370;-33.681919;-70.986091
Occidente;El Monte;10-370;Centro de Salud Familiar El Monte;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;35;10-370;-33.681919;-70.986091
Occidente;Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Embarazadas;42;10-375;-33.749042;-70.903306
Occidente;Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Enfermos cronicos de 11 a 64 años de edad;640;10-375;-33.749042;-70.903306
Occidente;Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Escolares de 1° a 5° año básico;190;10-375;-33.749042;-70.903306
Occidente;Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Estrategia Capullo;1;10-375;-33.749042;-70.903306
Occidente;Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Niños y niñas de 6 meses a 5 años de edad;102;10-375;-33.749042;-70.903306
Occidente;Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Otras prioridades;14;10-375;-33.749042;-70.903306
Occidente;Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;P. de salud: Privado;3;10-375;-33.749042;-70.903306
Occidente;Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;P. de salud: Público;151;10-375;-33.749042;-70.903306
Occidente;Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Personas mayores de 65 años y más;990;10-375;-33.749042;-70.903306
Occidente;Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Población General;2153;10-375;-33.749042;-70.903306
Occidente;Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Trabajadores de avícolas y de criaderos de cerdo;1;10-375;-33.749042;-70.903306
Occidente;Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;31;10-375;-33.749042;-70.903306
Occidente;Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Embarazadas;25;10-425;-33.734795;-70.861701
Occidente;Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Enfermos cronicos de 11 a 64 años de edad;373;10-425;-33.734795;-70.861701
Occidente;Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Escolares de 1° a 5° año básico;330;10-425;-33.734795;-70.861701
Occidente;Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Estrategia Capullo;7;10-425;-33.734795;-70.861701
Occidente;Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Niños y niñas de 6 meses a 5 años de edad;122;10-425;-33.734795;-70.861701
Occidente;Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Otras prioridades;1;10-425;-33.734795;-70.861701
Occidente;Isla de Maipo;10-425;Centro de Salud Familiar La Islita;P. de salud: Privado;6;10-425;-33.734795;-70.861701
Occidente;Isla de Maipo;10-425;Centro de Salud Familiar La Islita;P. de salud: Público;99;10-425;-33.734795;-70.861701
Occidente;Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Personas mayores de 65 años y más;513;10-425;-33.734795;-70.861701
Occidente;Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Población General;1604;10-425;-33.734795;-70.861701
Occidente;Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Trabajadores de avícolas y de criaderos de cerdo;76;10-425;-33.734795;-70.861701
Occidente;Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;35;10-425;-33.734795;-70.861701
Occidente;Lo Prado;10-315;Centro de Salud Familiar Santa Anita;Embarazadas;48;10-315;-33.43929;-70.7093
Occidente;Lo Prado;10-315;Centro de Salud Familiar Santa Anita;Enfermos cronicos de 11 a 64 años de edad;677;10-315;-33.43929;-70.7093
Occidente;Lo Prado;10-315;Centro de Salud Familiar Santa Anita;Escolares de 1° a 5° año básico;36;10-315;-33.43929;-70.7093
Occidente;Lo Prado;10-315;Centro de Salud Familiar Santa Anita;Niños y niñas de 6 meses a 5 años de edad;118;10-315;-33.43929;-70.7093
Occidente;Lo Prado;10-315;Centro de Salud Familiar Santa Anita;Otras prioridades;4;10-315;-33.43929;-70.7093
Occidente;Lo Prado;10-315;Centro de Salud Familiar Santa Anita;P. de salud: Privado;8;10-315;-33.43929;-70.7093
Occidente;Lo Prado;10-315;Centro de Salud Familiar Santa Anita;P. de salud: Público;137;10-315;-33.43929;-70.7093
Occidente;Lo Prado;10-315;Centro de Salud Familiar Santa Anita;Personas mayores de 65 años y más;1176;10-315;-33.43929;-70.7093
Occidente;Lo Prado;10-315;Centro de Salud Familiar Santa Anita;Población General;2191;10-315;-33.43929;-70.7093
Occidente;Lo Prado;10-315;Centro de Salud Familiar Santa Anita;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;5;10-315;-33.43929;-70.7093
Occidente;Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;Embarazadas;44;10-316;-33.450001;-70.730087
Occidente;Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;Enfermos cronicos de 11 a 64 años de edad;717;10-316;-33.450001;-70.730087
Occidente;Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;Escolares de 1° a 5° año básico;767;10-316;-33.450001;-70.730087
Occidente;Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;Niños y niñas de 6 meses a 5 años de edad;367;10-316;-33.450001;-70.730087
Occidente;Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;Otras prioridades;2;10-316;-33.450001;-70.730087
Occidente;Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;P. de salud: Privado;9;10-316;-33.450001;-70.730087
Occidente;Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;P. de salud: Público;135;10-316;-33.450001;-70.730087
Occidente;Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;Personas mayores de 65 años y más;1441;10-316;-33.450001;-70.730087
Occidente;Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;Población General;3522;10-316;-33.450001;-70.730087
Occidente;Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;Trabajadores de avícolas y de criaderos de cerdo;2;10-316;-33.450001;-70.730087
Occidente;Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;67;10-316;-33.450001;-70.730087
Occidente;Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;Embarazadas;48;10-340;-33.451755;-70.71605
Occidente;Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;Enfermos cronicos de 11 a 64 años de edad;836;10-340;-33.451755;-70.71605
Occidente;Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;Escolares de 1° a 5° año básico;643;10-340;-33.451755;-70.71605
Occidente;Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;Niños y niñas de 6 meses a 5 años de edad;415;10-340;-33.451755;-70.71605
Occidente;Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;Otras prioridades;4;10-340;-33.451755;-70.71605
Occidente;Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;P. de salud: Privado;6;10-340;-33.451755;-70.71605
Occidente;Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;P. de salud: Público;112;10-340;-33.451755;-70.71605
Occidente;Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;Personas mayores de 65 años y más;1585;10-340;-33.451755;-70.71605
Occidente;Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;Población General;3796;10-340;-33.451755;-70.71605
Occidente;Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;Trabajadores de la educación  preescolar y escolar hasta 5° año básico;160;10-340;-33.451755;-70.71605
Occidente;Lo Prado;10-345;Centro de Salud Familiar Dr. Carlos Avendaño;Embarazadas;44;10-345;-33.436875;-70.740448
Occidente;Lo Prado;10-345;Centro de Salud Familiar Dr. Carlos Avendaño;Enfermos cronicos de 11 a 64 años de edad;930;10-345;-33.436875;-70.740448
Occidente;Lo Prado;10-345;Centro de Salud Familiar Dr. Carlos Avendaño;Escolares de 1° a 5° año básico;58;10-345;-33.436875;-70.740448
