Comuna;CODIGO_DEIS;Establecimiento;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio;Código Antiguo ;latitud;longitud
San Ramón;14-307;Centro de Salud Familiar La Bandera;Única;1243;Personas mayores de 65 años y más;Suroriente;14-307;-33.545428;-70.644824
San Ramón;14-314;Centro de Salud Familiar Dr. Salvador Allende (Ex Consultorio San Ramón);EPRO;2;Personas mayores de 65 años y más;Suroriente;14-314;-33.537986;-70.640552
San Ramón;14-314;Centro de Salud Familiar Dr. Salvador Allende (Ex Consultorio San Ramón);Única;2022;Personas mayores de 65 años y más;Suroriente;14-314;-33.537986;-70.640552
San Ramón;14-328;Centro de Salud Familiar Poetisa Gabriela Mistral;Única;1183;Personas mayores de 65 años y más;Suroriente;14-328;-33.551606;-70.640729
Santiago;10-100;Hospital San Juan de Dios (Santiago, Santiago);Única;547;Personas mayores de 65 años y más;Central;10-100;-33.442394;-70.679188
Santiago;11-100;Hospital Clínico San Borja Arriarán;Única;735;Personas mayores de 65 años y más;Central;11-100;-33.460498;-70.64232
Santiago;11-195;Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río;EPRO;1;Personas mayores de 65 años y más;Central;11-195;-33.444004;-70.637955
Santiago;11-195;Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río;Única;45;Personas mayores de 65 años y más;Central;11-195;-33.444004;-70.637955
Santiago;11-200;Hospital Clínico Red de Salud UC CHRISTUS;Única;107;Personas mayores de 65 años y más;Central;11-200;-33.442233;-70.640349
Santiago;11-205;Hospital Clínico Instituto de Seguridad del Trabajo de Santiago;Única;16;Personas mayores de 65 años y más;Central;11-205;-33.475925;-70.651674
Santiago;11-267;Centro Médico Vida Integra Alameda;Única;179;Personas mayores de 65 años y más;Central;11-267;-33.446412;-70.658798
Santiago;11-284;Centro Médico y Dental Megasalud Alameda;Única;100;Personas mayores de 65 años y más;Central;11-284;-33.444915;-70.657657
Santiago;11-291;Centro Médico y Dental Fundación Asistencial Trabajadores Del Banco del Estado de Chile;Única;361;Personas mayores de 65 años y más;Central;11-291;-33.442973;-70.655523
Santiago;11-292;Vacunatorio Marcoleta de la Pontificia Universidad Católica de Chile;Única;751;Personas mayores de 65 años y más;Central;11-292;-33.442163;-70.640257
Santiago;11-300;Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo;Única;1719;Personas mayores de 65 años y más;Central;11-300;-33.455442;-70.652731
Santiago;11-301;Centro de Salud Familiar Nº 5;Única;1490;Personas mayores de 65 años y más;Central;11-301;-33.45118;-70.673769
Santiago;11-370;Centro de Salud Familiar Padre Orellana;Única;2219;Personas mayores de 65 años y más;Central;11-370;-33.466621;-70.629593
Santiago;11-372;Centro de Salud Familiar Arauco;Única;1134;Personas mayores de 65 años y más;Central;11-372;-33.46803;-70.670454
Santiago;11-376;Centro de Salud Familiar Matta Sur;EPRO;1;Personas mayores de 65 años y más;Central;11-376;-33.461578;-70.655451
Santiago;11-376;Centro de Salud Familiar Matta Sur;Única;1642;Personas mayores de 65 años y más;Central;11-376;-33.461578;-70.655451
Santiago;11-381;Centro de Salud Familiar Ignacio Domeyko;Única;4959;Personas mayores de 65 años y más;Central;11-381;-33.438921;-70.672467
Talagante;10-130;Hospital Adalberto Steeger (Talagante);Única;11;Personas mayores de 65 años y más;Occidente;10-130;-33.66801;-70.920339
Talagante;10-390;Centro de Salud Familiar Dr. Alberto Allende Jones;EPRO;2;Personas mayores de 65 años y más;Occidente;10-390;-33.669665;-70.937614
Talagante;10-390;Centro de Salud Familiar Dr. Alberto Allende Jones;Única;3196;Personas mayores de 65 años y más;Occidente;10-390;-33.669665;-70.937614
Tiltil;09-104;Hospital de Til Til;Única;458;Personas mayores de 65 años y más;Norte;09-104;-33.086793;-70.924522
Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Única;567;Personas mayores de 65 años y más;Norte;09-320;-33.135821;-70.799456
Tiltil;09-410;Posta de Salud Rural La Capilla de Caleu;Única;10;Personas mayores de 65 años y más;Norte;09-410;-33.002937;-70.995072
Tiltil;09-412;Posta de Salud Rural Montenegro;Única;36;Personas mayores de 65 años y más;Norte;09-412;-32.966264;-70.835393
Tiltil;09-413;Posta de Salud Rural Rungue;Única;13;Personas mayores de 65 años y más;Norte;09-413;-33.008385;-70.892433
Tiltil;09-414;Posta de Salud Rural Polpaico;Única;59;Personas mayores de 65 años y más;Norte;09-414;-33.167398;-70.887052
Vitacura;12-200;Clínica Alemana;EPRO;1;Personas mayores de 65 años y más;Oriente;12-200;-33.391276;-70.572983
Vitacura;12-200;Clínica Alemana;Única;1671;Personas mayores de 65 años y más;Oriente;12-200;-33.391276;-70.572983
Vitacura;12-201;Clínica Tabancura;Única;571;Personas mayores de 65 años y más;Oriente;12-201;-33.38216;-70.53534
Vitacura;12-274;Procedimientos Clínicos Alto Tabancura;Única;63;Personas mayores de 65 años y más;Oriente;12-274;-33.380903;-70.536344
Vitacura;12-309;Centro de Salud Familiar Vitacura;EPRO;1;Personas mayores de 65 años y más;Oriente;12-309;-33.38985;-70.555009
Vitacura;12-309;Centro de Salud Familiar Vitacura;Única;5684;Personas mayores de 65 años y más;Oriente;12-309;-33.38985;-70.555009
Vitacura;201092;Vacunatorio Medicien_Vitacura;Única;39;Personas mayores de 65 años y más;Oriente;201092;-33.371854;-70.518529
Ñuñoa;12-240;Hospital Carabineros;EPRO;1;Personas mayores de 65 años y más;Oriente;12-240;-33.450658;-70.608463
Ñuñoa;12-240;Hospital Carabineros;Única;1274;Personas mayores de 65 años y más;Oriente;12-240;-33.450658;-70.608463
Ñuñoa;12-310;Centro de Salud Familiar Rosita Renard;Única;476;Personas mayores de 65 años y más;Oriente;12-310;-33.469243;-70.602904
Ñuñoa;12-311;Centro de Salud Familiar Salvador Bustos;Única;8566;Personas mayores de 65 años y más;Oriente;12-311;-33.465998;-70.587774
Ñuñoa;12-911;Vacunatorio Pharmavisan;Única;24;Personas mayores de 65 años y más;Oriente;12-911;-33.458042;-70.588958
Ñuñoa;12-942;Vacunatorio Varik;Única;131;Personas mayores de 65 años y más;Oriente;12-942;-33.45454;-70.606179
Ñuñoa;201047;VACUNATORIO FASTFARMACHILE;Única;4;Personas mayores de 65 años y más;Oriente;201047;-33.454489;-70.576005
Ñuñoa;201093;Vacunatorio Medicien_Ñuñoa;Única;80;Personas mayores de 65 años y más;Oriente;201093;-33.455441;-70.595222
Alhué;10-393;Centro de Salud Familiar Villa Alhué;1° dosis;39;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-393;-34.032484;-71.100076
Alhué;10-393;Centro de Salud Familiar Villa Alhué;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-393;-34.032484;-71.100076
Alhué;10-393;Centro de Salud Familiar Villa Alhué;Única;127;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-393;-34.032484;-71.100076
Buin;13-320;Centro de Salud Familiar Maipo;1° dosis;60;Niños y niñas de 6 meses a 5 años de edad;Sur;13-320;-33.734885;-70.784598
Buin;13-320;Centro de Salud Familiar Maipo;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Sur;13-320;-33.734885;-70.784598
Buin;13-320;Centro de Salud Familiar Maipo;Única;477;Niños y niñas de 6 meses a 5 años de edad;Sur;13-320;-33.734885;-70.784598
Buin;13-333;Centro de Salud Familiar Alto Jahuel;1° dosis;48;Niños y niñas de 6 meses a 5 años de edad;Sur;13-333;-33.735249;-70.684161
Buin;13-333;Centro de Salud Familiar Alto Jahuel;2° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Sur;13-333;-33.735249;-70.684161
Buin;13-333;Centro de Salud Familiar Alto Jahuel;Única;89;Niños y niñas de 6 meses a 5 años de edad;Sur;13-333;-33.735249;-70.684161
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;1° dosis;191;Niños y niñas de 6 meses a 5 años de edad;Sur;13-390;-33.737754;-70.741333
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;2° dosis;5;Niños y niñas de 6 meses a 5 años de edad;Sur;13-390;-33.737754;-70.741333
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;Única;929;Niños y niñas de 6 meses a 5 años de edad;Sur;13-390;-33.737754;-70.741333
Buin;13-402;Centro Comunitario de Salud Familiar Dr. Ramón Galindo;1° dosis;20;Niños y niñas de 6 meses a 5 años de edad;Sur;13-402;-33.75109;-70.735556
Buin;13-402;Centro Comunitario de Salud Familiar Dr. Ramón Galindo;Única;93;Niños y niñas de 6 meses a 5 años de edad;Sur;13-402;-33.75109;-70.735556
Buin;13-404;Posta de Salud Rural Valdivia de Paine;1° dosis;15;Niños y niñas de 6 meses a 5 años de edad;Sur;13-404;-33.811928;-70.86063
Buin;13-404;Posta de Salud Rural Valdivia de Paine;Única;43;Niños y niñas de 6 meses a 5 años de edad;Sur;13-404;-33.811928;-70.86063
Buin;13-405;Posta de Salud Rural Viluco;1° dosis;11;Niños y niñas de 6 meses a 5 años de edad;Sur;13-405;-33.782229;-70.791771
Buin;13-405;Posta de Salud Rural Viluco;Única;38;Niños y niñas de 6 meses a 5 años de edad;Sur;13-405;-33.782229;-70.791771
Buin;13-406;Posta de Salud Rural El Recurso;1° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Sur;13-406;-33.690787;-70.701729
Buin;13-406;Posta de Salud Rural El Recurso;Única;18;Niños y niñas de 6 meses a 5 años de edad;Sur;13-406;-33.690787;-70.701729
Buin;13-407;Posta de Salud Rural Los Morros;1° dosis;7;Niños y niñas de 6 meses a 5 años de edad;Sur;13-407;-33.67046;-70.665548
Buin;13-407;Posta de Salud Rural Los Morros;Única;40;Niños y niñas de 6 meses a 5 años de edad;Sur;13-407;-33.67046;-70.665548
Buin;13-790;Centro Comunitario de Salud Familiar Dr. Héctor García;1° dosis;28;Niños y niñas de 6 meses a 5 años de edad;Sur;13-790;-33.711787;-70.739533
Buin;13-790;Centro Comunitario de Salud Familiar Dr. Héctor García;Única;57;Niños y niñas de 6 meses a 5 años de edad;Sur;13-790;-33.711787;-70.739533
Buin;201098;Centro Medico KINEROD;1° dosis;5;Niños y niñas de 6 meses a 5 años de edad;Sur;201098;-33.73418;-70.744272
Buin;201098;Centro Medico KINEROD;Única;19;Niños y niñas de 6 meses a 5 años de edad;Sur;201098;-33.73418;-70.744272
Buin;201162;KUME FELEN SPA;1° dosis;27;Niños y niñas de 6 meses a 5 años de edad;Sur;201162;-33.730461;-70.741187
Buin;201162;KUME FELEN SPA;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Sur;201162;-33.730461;-70.741187
Buin;201162;KUME FELEN SPA;Única;89;Niños y niñas de 6 meses a 5 años de edad;Sur;201162;-33.730461;-70.741187
Calera de Tango;13-321;Centro de Salud Familiar Calera de Tango;1° dosis;31;Niños y niñas de 6 meses a 5 años de edad;Sur;13-321;-33.636009;-70.811012
Calera de Tango;13-321;Centro de Salud Familiar Calera de Tango;Única;509;Niños y niñas de 6 meses a 5 años de edad;Sur;13-321;-33.636009;-70.811012
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;1° dosis;29;Niños y niñas de 6 meses a 5 años de edad;Sur;13-334;-33.625946;-70.782415
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;Única;117;Niños y niñas de 6 meses a 5 años de edad;Sur;13-334;-33.625946;-70.782415
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;1° dosis;236;Niños y niñas de 6 meses a 5 años de edad;Central;11-305;-33.49331;-70.719201
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;2° dosis;4;Niños y niñas de 6 meses a 5 años de edad;Central;11-305;-33.49331;-70.719201
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Única;845;Niños y niñas de 6 meses a 5 años de edad;Central;11-305;-33.49331;-70.719201
Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;1° dosis;104;Niños y niñas de 6 meses a 5 años de edad;Central;11-307;-33.501479;-70.733545
Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Única;354;Niños y niñas de 6 meses a 5 años de edad;Central;11-307;-33.501479;-70.733545
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;1° dosis;133;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-330;-33.417518;-70.741198
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;2° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-330;-33.417518;-70.741198
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;EPRO;1;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-330;-33.417518;-70.741198
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Única;306;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-330;-33.417518;-70.741198
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;1° dosis;100;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-331;-33.417581;-70.717399
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-331;-33.417581;-70.717399
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;EPRO;1;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-331;-33.417581;-70.717399
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Única;289;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-331;-33.417581;-70.717399
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;1° dosis;144;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-335;-33.419555;-70.750834
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-335;-33.419555;-70.750834
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Única;503;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-335;-33.419555;-70.750834
Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;1° dosis;159;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-355;-33.433502;-70.731655
Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Única;172;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-355;-33.433502;-70.731655
Colina;09-310;Centro de Salud Familiar Colina;1° dosis;744;Niños y niñas de 6 meses a 5 años de edad;Norte;09-310;-33.205979;-70.670553
Colina;09-310;Centro de Salud Familiar Colina;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Norte;09-310;-33.205979;-70.670553
Colina;09-310;Centro de Salud Familiar Colina;Única;3062;Niños y niñas de 6 meses a 5 años de edad;Norte;09-310;-33.205979;-70.670553
Colina;09-316;Centro de Salud Familiar Esmeralda;1° dosis;134;Niños y niñas de 6 meses a 5 años de edad;Norte;09-316;-33.184133;-70.653657
Colina;09-316;Centro de Salud Familiar Esmeralda;Única;164;Niños y niñas de 6 meses a 5 años de edad;Norte;09-316;-33.184133;-70.653657
Colina;09-417;Posta de Salud Rural Los Ingleses;1° dosis;7;Niños y niñas de 6 meses a 5 años de edad;Norte;09-417;-33.267323;-70.678694
Colina;09-417;Posta de Salud Rural Los Ingleses;Única;20;Niños y niñas de 6 meses a 5 años de edad;Norte;09-417;-33.267323;-70.678694
Colina;09-418;Posta de Salud Rural Las Canteras;Única;9;Niños y niñas de 6 meses a 5 años de edad;Norte;09-418;-33.3043;-70.689015
Colina;09-419;Posta de Salud Rural Santa Marta de Liray;1° dosis;9;Niños y niñas de 6 meses a 5 años de edad;Norte;09-419;-33.240239;-70.736763
Colina;09-419;Posta de Salud Rural Santa Marta de Liray;Única;22;Niños y niñas de 6 meses a 5 años de edad;Norte;09-419;-33.240239;-70.736763
Colina;09-420;Posta de Salud Rural Chacabuco (Colina);1° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Norte;09-420;-33.043488;-70.693602
Colina;09-420;Posta de Salud Rural Chacabuco (Colina);Única;7;Niños y niñas de 6 meses a 5 años de edad;Norte;09-420;-33.043488;-70.693602
Colina;09-716;Centro Comunitario de Salud Familiar Esmeralda;Única;9;Niños y niñas de 6 meses a 5 años de edad;Norte;09-716;-33.183727;-70.663439
Colina;09-905;Centro Médico Clínica Alemana de Chicureo;1° dosis;108;Niños y niñas de 6 meses a 5 años de edad;Norte;09-905;-33.286284;-70.651801
Colina;09-905;Centro Médico Clínica Alemana de Chicureo;Única;407;Niños y niñas de 6 meses a 5 años de edad;Norte;09-905;-33.286284;-70.651801
Colina;09-927;Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.);1° dosis;83;Niños y niñas de 6 meses a 5 años de edad;Norte;09-927;-33.283002;-70.651101
Colina;09-927;Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.);Única;332;Niños y niñas de 6 meses a 5 años de edad;Norte;09-927;-33.283002;-70.651101
Colina;201087;VACUNATORIO CHICUREO SpA;1° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Norte;201087;-33.278421;-70.706218
Colina;201087;VACUNATORIO CHICUREO SpA;Única;23;Niños y niñas de 6 meses a 5 años de edad;Norte;201087;-33.278421;-70.706218
Conchalí;09-302;Centro de Salud Familiar Lucas Sierra;1° dosis;141;Niños y niñas de 6 meses a 5 años de edad;Norte;09-302;-33.388856;-70.671249
Conchalí;09-302;Centro de Salud Familiar Lucas Sierra;2° dosis;6;Niños y niñas de 6 meses a 5 años de edad;Norte;09-302;-33.388856;-70.671249
Conchalí;09-302;Centro de Salud Familiar Lucas Sierra;Única;618;Niños y niñas de 6 meses a 5 años de edad;Norte;09-302;-33.388856;-70.671249
Conchalí;09-308;Centro de Salud Familiar Alberto Bachelet Martínez;1° dosis;75;Niños y niñas de 6 meses a 5 años de edad;Norte;09-308;-33.394414;-70.658337
Conchalí;09-308;Centro de Salud Familiar Alberto Bachelet Martínez;Única;205;Niños y niñas de 6 meses a 5 años de edad;Norte;09-308;-33.394414;-70.658337
Conchalí;09-309;Centro de Salud Familiar José Symon Ojeda;1° dosis;97;Niños y niñas de 6 meses a 5 años de edad;Norte;09-309;-33.378315;-70.692373
Conchalí;09-309;Centro de Salud Familiar José Symon Ojeda;2° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Norte;09-309;-33.378315;-70.692373
Conchalí;09-309;Centro de Salud Familiar José Symon Ojeda;Única;316;Niños y niñas de 6 meses a 5 años de edad;Norte;09-309;-33.378315;-70.692373
Conchalí;09-314;Centro de Salud Familiar Juanita Aguirre;1° dosis;83;Niños y niñas de 6 meses a 5 años de edad;Norte;09-314;-33.370386;-70.683005
Conchalí;09-314;Centro de Salud Familiar Juanita Aguirre;Única;240;Niños y niñas de 6 meses a 5 años de edad;Norte;09-314;-33.370386;-70.683005
Curacaví;10-160;Hospital de Curacaví;1° dosis;140;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-160;-33.4095;-71.145664
Curacaví;10-160;Hospital de Curacaví;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-160;-33.4095;-71.145664
Curacaví;10-160;Hospital de Curacaví;Única;403;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-160;-33.4095;-71.145664
El Bosque;13-312;Centro de Salud Familiar Dr. Carlos Lorca Tobar;1° dosis;160;Niños y niñas de 6 meses a 5 años de edad;Sur;13-312;-33.554149;-70.666968
El Bosque;13-312;Centro de Salud Familiar Dr. Carlos Lorca Tobar;Única;842;Niños y niñas de 6 meses a 5 años de edad;Sur;13-312;-33.554149;-70.666968
El Bosque;13-314;Centro de Salud Familiar Cóndores de Chile;1° dosis;122;Niños y niñas de 6 meses a 5 años de edad;Sur;13-314;-33.561362;-70.674691
El Bosque;13-314;Centro de Salud Familiar Cóndores de Chile;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Sur;13-314;-33.561362;-70.674691
El Bosque;13-314;Centro de Salud Familiar Cóndores de Chile;Única;582;Niños y niñas de 6 meses a 5 años de edad;Sur;13-314;-33.561362;-70.674691
El Bosque;13-317;Centro de Salud Familiar Santa Laura;1° dosis;86;Niños y niñas de 6 meses a 5 años de edad;Sur;13-317;-33.552491;-70.688809
El Bosque;13-317;Centro de Salud Familiar Santa Laura;Única;705;Niños y niñas de 6 meses a 5 años de edad;Sur;13-317;-33.552491;-70.688809
El Bosque;13-323;Centro de Salud Familiar Dr. Mario Salcedo;1° dosis;123;Niños y niñas de 6 meses a 5 años de edad;Sur;13-323;-33.582081;-70.668768
El Bosque;13-323;Centro de Salud Familiar Dr. Mario Salcedo;2° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Sur;13-323;-33.582081;-70.668768
El Bosque;13-323;Centro de Salud Familiar Dr. Mario Salcedo;Única;804;Niños y niñas de 6 meses a 5 años de edad;Sur;13-323;-33.582081;-70.668768
El Bosque;13-324;Centro de Salud Familiar Dra. Haydeé López Casoou;1° dosis;102;Niños y niñas de 6 meses a 5 años de edad;Sur;13-324;-33.572212;-70.667054
El Bosque;13-324;Centro de Salud Familiar Dra. Haydeé López Casoou;Única;674;Niños y niñas de 6 meses a 5 años de edad;Sur;13-324;-33.572212;-70.667054
El Bosque;13-329;Centro de Salud Familiar Canciller Orlando Letelier;1° dosis;161;Niños y niñas de 6 meses a 5 años de edad;Sur;13-329;-33.578041;-70.67785
El Bosque;13-329;Centro de Salud Familiar Canciller Orlando Letelier;Única;823;Niños y niñas de 6 meses a 5 años de edad;Sur;13-329;-33.578041;-70.67785
El Monte;10-370;Centro de Salud Familiar El Monte;1° dosis;77;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-370;-33.681919;-70.986091
El Monte;10-370;Centro de Salud Familiar El Monte;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-370;-33.681919;-70.986091
El Monte;10-370;Centro de Salud Familiar El Monte;Única;203;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-370;-33.681919;-70.986091
Estación Central;11-230;Clínica Hospital del Profesor;1° dosis;114;Niños y niñas de 6 meses a 5 años de edad;Central;11-230;-33.457755;-70.702639
Estación Central;11-230;Clínica Hospital del Profesor;Única;145;Niños y niñas de 6 meses a 5 años de edad;Central;11-230;-33.457755;-70.702639
Estación Central;11-295;Red Salud Santiago ex Clínica Bicentenario;1° dosis;165;Niños y niñas de 6 meses a 5 años de edad;Central;11-295;-33.457336;-70.701792
Estación Central;11-295;Red Salud Santiago ex Clínica Bicentenario;Única;220;Niños y niñas de 6 meses a 5 años de edad;Central;11-295;-33.457336;-70.701792
Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;1° dosis;204;Niños y niñas de 6 meses a 5 años de edad;Central;11-302;-33.47284;-70.691894
Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Central;11-302;-33.47284;-70.691894
Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Única;323;Niños y niñas de 6 meses a 5 años de edad;Central;11-302;-33.47284;-70.691894
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;1° dosis;280;Niños y niñas de 6 meses a 5 años de edad;Central;11-306;-33.473682;-70.705982
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Central;11-306;-33.473682;-70.705982
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Única;819;Niños y niñas de 6 meses a 5 años de edad;Central;11-306;-33.473682;-70.705982
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;1° dosis;333;Niños y niñas de 6 meses a 5 años de edad;Central;11-310;-33.451977;-70.703928
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;2° dosis;3;Niños y niñas de 6 meses a 5 años de edad;Central;11-310;-33.451977;-70.703928
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Única;782;Niños y niñas de 6 meses a 5 años de edad;Central;11-310;-33.451977;-70.703928
Huechuraba;09-305;Centro de Salud Familiar La Pincoya;1° dosis;183;Niños y niñas de 6 meses a 5 años de edad;Norte;09-305;-33.373386;-70.63702
Huechuraba;09-305;Centro de Salud Familiar La Pincoya;Única;518;Niños y niñas de 6 meses a 5 años de edad;Norte;09-305;-33.373386;-70.63702
Huechuraba;09-317;Centro de Salud Familiar El Barrero;1° dosis;165;Niños y niñas de 6 meses a 5 años de edad;Norte;09-317;-33.375909;-70.624663
Huechuraba;09-317;Centro de Salud Familiar El Barrero;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Norte;09-317;-33.375909;-70.624663
Huechuraba;09-317;Centro de Salud Familiar El Barrero;Única;493;Niños y niñas de 6 meses a 5 años de edad;Norte;09-317;-33.375909;-70.624663
Huechuraba;09-323;Centro de Salud Familiar Dr. Salvador Allende Gossens;1° dosis;208;Niños y niñas de 6 meses a 5 años de edad;Norte;09-323;-33.363415;-70.632789
Huechuraba;09-323;Centro de Salud Familiar Dr. Salvador Allende Gossens;Única;423;Niños y niñas de 6 meses a 5 años de edad;Norte;09-323;-33.363415;-70.632789
Huechuraba;09-718;Centro Comunitario de Salud Familiar Los Libertadores;1° dosis;38;Niños y niñas de 6 meses a 5 años de edad;Norte;09-718;-33.360049;-70.683527
Huechuraba;09-718;Centro Comunitario de Salud Familiar Los Libertadores;Única;179;Niños y niñas de 6 meses a 5 años de edad;Norte;09-718;-33.360049;-70.683527
Huechuraba;09-915;Centro de Salud Familiar Dr. Victor Castro Wiren;1° dosis;213;Niños y niñas de 6 meses a 5 años de edad;Norte;09-915;-33.352605;-70.67705
Huechuraba;09-915;Centro de Salud Familiar Dr. Victor Castro Wiren;2° dosis;2;Niños y niñas de 6 meses a 5 años de edad;Norte;09-915;-33.352605;-70.67705
Huechuraba;09-915;Centro de Salud Familiar Dr. Victor Castro Wiren;Única;968;Niños y niñas de 6 meses a 5 años de edad;Norte;09-915;-33.352605;-70.67705
Independencia;09-101;Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia);1° dosis;23;Niños y niñas de 6 meses a 5 años de edad;Norte;09-101;-33.415335;-70.655086
Independencia;09-101;Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia);Única;88;Niños y niñas de 6 meses a 5 años de edad;Norte;09-101;-33.415335;-70.655086
Independencia;09-200;Hospital Clínico Universidad de Chile;1° dosis;35;Niños y niñas de 6 meses a 5 años de edad;Norte;09-200;-33.420057;-70.653116
Independencia;09-200;Hospital Clínico Universidad de Chile;Única;48;Niños y niñas de 6 meses a 5 años de edad;Norte;09-200;-33.420057;-70.653116
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;1° dosis;316;Niños y niñas de 6 meses a 5 años de edad;Norte;09-300;-33.415155;-70.657119
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;2° dosis;4;Niños y niñas de 6 meses a 5 años de edad;Norte;09-300;-33.415155;-70.657119
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;Única;1088;Niños y niñas de 6 meses a 5 años de edad;Norte;09-300;-33.415155;-70.657119
Independencia;09-321;Centro de Salud Familiar Juan Antonio Ríos;1° dosis;53;Niños y niñas de 6 meses a 5 años de edad;Norte;09-321;-33.417373;-70.668652
Independencia;09-321;Centro de Salud Familiar Juan Antonio Ríos;2° dosis;1;Niños y niñas de 6 meses a 5 años de edad;Norte;09-321;-33.417373;-70.668652
Independencia;09-321;Centro de Salud Familiar Juan Antonio Ríos;Única;182;Niños y niñas de 6 meses a 5 años de edad;Norte;09-321;-33.417373;-70.668652
Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;1° dosis;74;Niños y niñas de 6 meses a 5 años de edad;Occidente;10-375;-33.749042;-70.903306
