Servicio;Comuna;Criterio_elegibilidad;N° de vacunados;Población objetivo;Avance vacunación;Desagregación;CODIGO_DEIS;Establecimiento;Dosis
Occidente;Alhué;Personas mayores de 65 años y más;350;;;Establecimientos de salud;10-393;Centro de Salud Familiar Villa Alhué;Única
Occidente;Cerro Navia;Personas mayores de 65 años y más;1018;;;Establecimientos de salud;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Única
Occidente;Cerro Navia;Personas mayores de 65 años y más;591;;;Establecimientos de salud;10-331;Centro de Salud Familiar Lo Amor;Única
Occidente;Cerro Navia;Personas mayores de 65 años y más;1130;;;Establecimientos de salud;10-335;Centro de Salud Familiar Cerro Navia;Única
Occidente;Cerro Navia;Personas mayores de 65 años y más;868;;;Establecimientos de salud;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Única
Occidente;Curacaví;Personas mayores de 65 años y más;995;;;Establecimientos de salud;10-160;Hospital de Curacaví;Única
Occidente;El Monte;Personas mayores de 65 años y más;758;;;Establecimientos de salud;10-370;Centro de Salud Familiar El Monte;Única
Occidente;Isla de Maipo;Personas mayores de 65 años y más;990;;;Establecimientos de salud;10-375;Centro de Salud Familiar Isla de Maipo;Única
Occidente;Isla de Maipo;Personas mayores de 65 años y más;513;;;Establecimientos de salud;10-425;Centro de Salud Familiar La Islita;Única
Occidente;Lo Prado;Personas mayores de 65 años y más;1176;;;Establecimientos de salud;10-315;Centro de Salud Familiar Santa Anita;Única
Occidente;Lo Prado;Personas mayores de 65 años y más;1441;;;Establecimientos de salud;10-316;Centro de Salud Familiar Pablo Neruda;Única
Occidente;Lo Prado;Personas mayores de 65 años y más;1585;;;Establecimientos de salud;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;Única
Occidente;Lo Prado;Personas mayores de 65 años y más;1224;;;Establecimientos de salud;10-345;Centro de Salud Familiar Dr. Carlos Avendaño;Única
Occidente;María Pinto;Personas mayores de 65 años y más;601;;;Establecimientos de salud;10-385;Centro de Salud Familiar Adriana Madrid De Costabal;Única
Occidente;Melipilla;Personas mayores de 65 años y más;23;;;Establecimientos de salud;10-150;Hospital San José (Melipilla);Única
Occidente;Melipilla;Personas mayores de 65 años y más;734;;;Establecimientos de salud;10-378;Centro de Salud Familiar Dr. Edelberto Elgueta;Única
Occidente;Melipilla;Personas mayores de 65 años y más;1120;;;Establecimientos de salud;10-379;Centro de Salud Familiar Dr. Francisco Boris Soler;Única
Occidente;Melipilla;Personas mayores de 65 años y más;383;;;Establecimientos de salud;10-380;Centro de Salud Familiar San Manuel;Única
Occidente;Melipilla;Personas mayores de 65 años y más;167;;;Establecimientos de salud;10-381;Centro de Salud Familiar Alfarera Rosa Reyes Vilches;Única
Occidente;Melipilla;Personas mayores de 65 años y más;227;;;Establecimientos de salud;10-440;Posta de Salud Rural Bollenar;Única
Occidente;Melipilla;Personas mayores de 65 años y más;150;;;Establecimientos de salud;10-445;Posta de Salud Rural Pahuilmo;Única
Occidente;Melipilla;Personas mayores de 65 años y más;30;;;Establecimientos de salud;10-455;Posta de salud Rural Pabellón;Única
Occidente;Melipilla;Personas mayores de 65 años y más;2295;;;Establecimientos de salud;10-938;Centro de Salud Familiar Florencia;Única
Occidente;Padre Hurtado;Personas mayores de 65 años y más;1320;;;Establecimientos de salud;10-366;Centro de Salud Familiar Juan Pablo II ( Padre Hurtado);Única
Occidente;Peñaflor;Personas mayores de 65 años y más;9;;;Establecimientos de salud;10-140;Hospital de Peñaflor;Única
Occidente;Peñaflor;Personas mayores de 65 años y más;2250;;;Establecimientos de salud;10-308;Centro de Salud Familiar Peñaflor;Única
Occidente;Peñaflor;Personas mayores de 65 años y más;851;;;Establecimientos de salud;10-369;Centro de Salud Familiar Dr. Fernando Monckeberg;Única
Occidente;Providencia;Personas mayores de 65 años y más;8;;;Establecimientos de salud;14-104;Hospital Metropolitano ( ex Militar );Única
Occidente;Pudahuel;Personas mayores de 65 años y más;13;;;Establecimientos de salud;10-300;Centro de Referencia de Salud Salvador Allende;Única
Occidente;Pudahuel;Personas mayores de 65 años y más;1783;;;Establecimientos de salud;10-350;Centro de Salud Familiar Pudahuel Estrella;Única
Occidente;Pudahuel;Personas mayores de 65 años y más;1019;;;Establecimientos de salud;10-351;Centro de Salud Familiar Pudahuel Poniente;Única
Occidente;Pudahuel;Personas mayores de 65 años y más;1174;;;Establecimientos de salud;10-352;Centro de Salud Familiar Dr. Gustavo Molina;Única
Occidente;Pudahuel;Personas mayores de 65 años y más;955;;;Establecimientos de salud;10-353;Centro de Salud Familiar Cardenal Raúl Silva Henríquez;Única
Occidente;Pudahuel;Personas mayores de 65 años y más;2438;;;Establecimientos de salud;10-354;Centro de Salud Familiar Violeta Parra;Única
Occidente;Quinta Normal;Personas mayores de 65 años y más;42;;;Establecimientos de salud;10-120;Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal);Única
Occidente;Quinta Normal;Personas mayores de 65 años y más;1131;;;Establecimientos de salud;10-310;Centro de Salud Familiar Andes;Única
Occidente;Quinta Normal;Personas mayores de 65 años y más;1554;;;Establecimientos de salud;10-320;Centro de Salud Familiar Lo Franco;Única
Occidente;Quinta Normal;Personas mayores de 65 años y más;1042;;;Establecimientos de salud;10-325;Centro de Salud Familiar Garín;Única
Occidente;Renca;Personas mayores de 65 años y más;1526;;;Establecimientos de salud;10-360;Centro de Salud Familiar Renca;Única
Occidente;Renca;Personas mayores de 65 años y más;539;;;Establecimientos de salud;10-361;Centro de Salud Familiar Bicentenario;Única
Occidente;Renca;Personas mayores de 65 años y más;675;;;Establecimientos de salud;10-362;Centro de Salud Familiar Dr. Hernán Urzúa Merino;Única
Occidente;Renca;Personas mayores de 65 años y más;645;;;Establecimientos de salud;10-364;Centro de Salud Familiar Huamachuco;Única
Occidente;San Pedro;Personas mayores de 65 años y más;368;;;Establecimientos de salud;10-387;Centro de Salud Familiar San Pedro;Única
Occidente;Santiago;Personas mayores de 65 años y más;345;;;Establecimientos de salud;10-100;Hospital San Juan de Dios (Santiago, Santiago);Única
Occidente;Talagante;Personas mayores de 65 años y más;7;;;Establecimientos de salud;10-130;Hospital Adalberto Steeger (Talagante);Única
Occidente;Talagante;Personas mayores de 65 años y más;2102;;;Establecimientos de salud;10-390;Centro de Salud Familiar Dr. Alberto Allende Jones;Única
Oriente;La Reina;Personas mayores de 65 años y más;3407;;;Establecimientos de salud;12-317;Centro de Salud Familiar Ossandon;Única
Oriente;La Reina;Personas mayores de 65 años y más;111;;;Establecimientos de salud;12-320;Centro de Salud Familiar Juan Pablo II ( La Reina);Única
Oriente;Las Condes;Personas mayores de 65 años y más;9535;;;Establecimientos de salud;12-304;Centro de Salud Familiar Apoquindo;Única
Oriente;Las Condes;Personas mayores de 65 años y más;1973;;;Establecimientos de salud;12-306;Centro de Salud Familiar Aníbal Ariztía;Única
Oriente;Lo Barnechea;Personas mayores de 65 años y más;2602;;;Establecimientos de salud;12-307;Centro de Salud Familiar Lo Barnechea;Única
Oriente;Macul;Personas mayores de 65 años y más;1716;;;Establecimientos de salud;12-312;Centro de Salud Familiar Félix de Amesti;Única
Oriente;Macul;Personas mayores de 65 años y más;1333;;;Establecimientos de salud;12-313;Centro de Salud Familiar Santa Julia;Única
Oriente;Macul;Personas mayores de 65 años y más;896;;;Establecimientos de salud;12-319;Centro de Salud Familiar Padre Alberto Hurtado;Única
Oriente;Peñalolén;Personas mayores de 65 años y más;30;;;Establecimientos de salud;12-101;Hospital Dr. Luis Tisné B. (Santiago, Peñalolén);Única
Oriente;Peñalolén;Personas mayores de 65 años y más;6;;;Establecimientos de salud;12-105;Instituto Nacional de Rehabilitación Infantil Presidente Pedro Aguirre Cerda;Única
Oriente;Peñalolén;Personas mayores de 65 años y más;3;;;Establecimientos de salud;12-300;Centro de Referencia de Salud Cordillera Oriente;Única
Oriente;Peñalolén;Personas mayores de 65 años y más;946;;;Establecimientos de salud;12-314;Centro de Salud Familiar La Faena;Única
Oriente;Peñalolén;Personas mayores de 65 años y más;950;;;Establecimientos de salud;12-315;Centro de Salud Familiar San Luis;Única
Oriente;Peñalolén;Personas mayores de 65 años y más;1712;;;Establecimientos de salud;12-316;Centro de Salud Familiar Carol Urzúa Ibáñez;Única
Oriente;Peñalolén;Personas mayores de 65 años y más;722;;;Establecimientos de salud;12-318;Centro de Salud Familiar Lo Hermida;Única
Oriente;Peñalolén;Personas mayores de 65 años y más;431;;;Establecimientos de salud;12-321;Centro de Salud Familiar Cardenal Silva Henríquez;Única
Oriente;Peñalolén;Personas mayores de 65 años y más;821;;;Establecimientos de salud;12-322;Centro de Salud Familiar Padre Gerardo Whelan;Única
Oriente;Peñalolén;Personas mayores de 65 años y más;1109;;;Establecimientos de salud;201112;CESFAM Las Torres;Única
Oriente;Providencia;Personas mayores de 65 años y más;87;;;Establecimientos de salud;12-100;Hospital Del Salvador de Santiago;Única
Oriente;Providencia;Personas mayores de 65 años y más;48;;;Establecimientos de salud;12-102;Hospital de Niños Dr. Luis Calvo Mackenna;Única
Oriente;Providencia;Personas mayores de 65 años y más;5;;;Establecimientos de salud;12-103;Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica;Única
Oriente;Providencia;Personas mayores de 65 años y más;17;;;Establecimientos de salud;12-104;Instituto de Neurocirugía Dr. Alfonso Asenjo;Única
Oriente;Providencia;Personas mayores de 65 años y más;10;;;Establecimientos de salud;12-106;Instituto Nacional Geriátrico Presidente Eduardo Frei Montalva;Única
Oriente;Providencia;Personas mayores de 65 años y más;1406;;;Establecimientos de salud;12-301;Centro de Salud Familiar Dr. Hernán Alessandri;Única
Oriente;Providencia;Personas mayores de 65 años y más;2088;;;Establecimientos de salud;12-302;Centro de Salud Familiar Dr. Alfonso Leng;Única
Oriente;Providencia;Personas mayores de 65 años y más;2828;;;Establecimientos de salud;12-303;Centro de Salud Familiar Aguilucho;Única
Oriente;Vitacura;Personas mayores de 65 años y más;3500;;;Establecimientos de salud;12-309;Centro de Salud Familiar Vitacura;Única
Oriente;Ñuñoa;Personas mayores de 65 años y más;212;;;Establecimientos de salud;12-310;Centro de Salud Familiar Rosita Renard;Única
Oriente;Ñuñoa;Personas mayores de 65 años y más;4758;;;Establecimientos de salud;12-311;Centro de Salud Familiar Salvador Bustos;Única
Sur;Buin;Personas mayores de 65 años y más;8;;;Establecimientos de salud;13-150;Hospital San Luis (Buin);Única
Sur;Buin;Personas mayores de 65 años y más;462;;;Establecimientos de salud;13-320;Centro de Salud Familiar Maipo;Única
Sur;Buin;Personas mayores de 65 años y más;313;;;Establecimientos de salud;13-333;Centro de Salud Familiar Alto Jahuel;Única
Sur;Buin;Personas mayores de 65 años y más;1526;;;Establecimientos de salud;13-390;Centro de Salud Familiar Dr. Héctor García;Única
Sur;Buin;Personas mayores de 65 años y más;187;;;Establecimientos de salud;13-402;Centro Comunitario de Salud Familiar Dr. Ramón Galindo;Única
Sur;Buin;Personas mayores de 65 años y más;99;;;Establecimientos de salud;13-404;Posta de Salud Rural Valdivia de Paine;Única
Sur;Buin;Personas mayores de 65 años y más;97;;;Establecimientos de salud;13-405;Posta de Salud Rural Viluco;Única
Sur;Buin;Personas mayores de 65 años y más;55;;;Establecimientos de salud;13-406;Posta de Salud Rural El Recurso;Única
Sur;Buin;Personas mayores de 65 años y más;93;;;Establecimientos de salud;13-407;Posta de Salud Rural Los Morros;Única
Sur;Buin;Personas mayores de 65 años y más;89;;;Establecimientos de salud;13-790;Centro Comunitario de Salud Familiar Dr. Héctor García;Única
Sur;Calera de Tango;Personas mayores de 65 años y más;279;;;Establecimientos de salud;13-321;Centro de Salud Familiar Calera de Tango;Única
Sur;Calera de Tango;Personas mayores de 65 años y más;396;;;Establecimientos de salud;13-334;Centro de Salud Familiar Los Bajos de San Agustín;Única
Sur;El Bosque;Personas mayores de 65 años y más;1605;;;Establecimientos de salud;13-312;Centro de Salud Familiar Dr. Carlos Lorca Tobar;Única
Sur;El Bosque;Personas mayores de 65 años y más;1505;;;Establecimientos de salud;13-314;Centro de Salud Familiar Cóndores de Chile;Única
Sur;El Bosque;Personas mayores de 65 años y más;957;;;Establecimientos de salud;13-317;Centro de Salud Familiar Santa Laura;Única
Sur;El Bosque;Personas mayores de 65 años y más;793;;;Establecimientos de salud;13-323;Centro de Salud Familiar Dr. Mario Salcedo;Única
Sur;El Bosque;Personas mayores de 65 años y más;1296;;;Establecimientos de salud;13-324;Centro de Salud Familiar Dra. Haydeé López Casoou;Única
Sur;El Bosque;Personas mayores de 65 años y más;1071;;;Establecimientos de salud;13-329;Centro de Salud Familiar Canciller Orlando Letelier;Única
Sur;La Cisterna;Personas mayores de 65 años y más;2159;;;Establecimientos de salud;13-311;Centro de Salud Familiar Santa Anselma;Única
Sur;La Cisterna;Personas mayores de 65 años y más;1636;;;Establecimientos de salud;13-326;Centro de Salud Familiar Eduardo Frei Montalva;Única
Sur;La Granja;Personas mayores de 65 años y más;1520;;;Establecimientos de salud;13-307;Centro de Salud Familiar Padre Esteban Gumucio Vives;Única
Sur;Lo Espejo;Personas mayores de 65 años y más;706;;;Establecimientos de salud;13-308;Centro de Salud Familiar Clara Estrella;Única
Sur;Lo Espejo;Personas mayores de 65 años y más;654;;;Establecimientos de salud;13-309;Centro de Salud Familiar Julio Acuña Pinzón;Única
Sur;Lo Espejo;Personas mayores de 65 años y más;777;;;Establecimientos de salud;13-310;Centro de Salud Familiar Dra. Mariela Salgado Zepeda;Única
Sur;Lo Espejo;Personas mayores de 65 años y más;587;;;Establecimientos de salud;13-396;Centro de Salud Familiar Pueblo Lo Espejo;Única
Sur;Paine;Personas mayores de 65 años y más;1071;;;Establecimientos de salud;13-318;Centro de Salud Familiar Dr. Miguel Ángel Solar (ex CESFAM Paine);Única
Sur;Paine;Personas mayores de 65 años y más;596;;;Establecimientos de salud;13-319;Centro de Salud Familiar Dr. Raúl Moya;Única
Sur;Paine;Personas mayores de 65 años y más;288;;;Establecimientos de salud;13-408;Posta de Salud Rural Pintué;Única
Sur;Paine;Personas mayores de 65 años y más;239;;;Establecimientos de salud;13-409;Posta de Salud Rural Huelquén;Única
Sur;Paine;Personas mayores de 65 años y más;22;;;Establecimientos de salud;13-410;Posta de Salud Rural Rangue;Única
Sur;Paine;Personas mayores de 65 años y más;57;;;Establecimientos de salud;13-411;Posta de Salud Rural Abrantes;Única
Sur;Paine;Personas mayores de 65 años y más;53;;;Establecimientos de salud;13-412;Posta de Salud Rural Chada;Única
Sur;Pedro Aguirre Cerda;Personas mayores de 65 años y más;809;;;Establecimientos de salud;11-303;Centro de Salud Familiar Lo Valledor Norte;Única
Sur;Pedro Aguirre Cerda;Personas mayores de 65 años y más;1105;;;Establecimientos de salud;13-303;Centro de Salud Familiar Amador Neghme;Única
Sur;Pedro Aguirre Cerda;Personas mayores de 65 años y más;1774;;;Establecimientos de salud;13-306;Centro de Salud Familiar Padre Pierre Dubois (Ex La Feria);Única
Sur;Pedro Aguirre Cerda;Personas mayores de 65 años y más;853;;;Establecimientos de salud;13-331;Centro de Salud Familiar Edgardo Enríquez Fröedden;Única
Sur;San Bernardo;Personas mayores de 65 años y más;27;;;Establecimientos de salud;13-180;Hospital El Pino (Santiago, San Bernardo);Única
Sur;San Bernardo;Personas mayores de 65 años y más;7;;;Establecimientos de salud;13-190;Hospital Parroquial de San Bernardo (D);Única
Sur;San Bernardo;Personas mayores de 65 años y más;1537;;;Establecimientos de salud;13-313;Centro de Salud Familiar Raúl Cuevas (Ex-San Bernardo);Única
Sur;San Bernardo;Personas mayores de 65 años y más;491;;;Establecimientos de salud;13-315;Centro de Salud Familiar Confraternidad;Única
Sur;San Bernardo;Personas mayores de 65 años y más;809;;;Establecimientos de salud;13-316;Centro de Salud Familiar Carol Urzúa;Única
Sur;San Bernardo;Personas mayores de 65 años y más;741;;;Establecimientos de salud;13-328;Centro de Salud Familiar Padre Joan Alsina;Única
Sur;San Bernardo;Personas mayores de 65 años y más;558;;;Establecimientos de salud;13-330;Centro de Salud Familiar Raúl Brañes F.;Única
Sur;San Bernardo;Personas mayores de 65 años y más;940;;;Establecimientos de salud;13-332;Centro de Salud Familiar Juan Pablo II ( San Bernardo);Única
Sur;San Bernardo;Personas mayores de 65 años y más;231;;;Establecimientos de salud;13-394;Centro de Salud Familiar El Manzano;Única
Sur;San Bernardo;Personas mayores de 65 años y más;5;;;Establecimientos de salud;13-716;Centro Comunitario de Salud Familiar Rapa Nui;Única
Sur;San Joaquín;Personas mayores de 65 años y más;1460;;;Establecimientos de salud;13-301;Centro de Salud Familiar San Joaquín;Única
Sur;San Joaquín;Personas mayores de 65 años y más;515;;;Establecimientos de salud;13-305;Centro de Salud Familiar Arturo Baeza Goñi;Única
Sur;San Joaquín;Personas mayores de 65 años y más;1827;;;Establecimientos de salud;13-322;Centro de Salud Familiar Santa Teresa de Los Andes;Única
Sur;San Miguel;Personas mayores de 65 años y más;80;;;Establecimientos de salud;13-100;Hospital Barros Luco Trudeau (Santiago, San Miguel);Única
Sur;San Miguel;Personas mayores de 65 años y más;50;;;Establecimientos de salud;13-130;Hospital Dr. Exequiel González Cortés (Santiago, San Miguel);Única
Sur;San Miguel;Personas mayores de 65 años y más;10;;;Establecimientos de salud;13-160;Hospital de Enfermedades Infecciosas Dr. Lucio Córdova (Santiago, San Miguel);Única
Sur;San Miguel;Personas mayores de 65 años y más;2299;;;Establecimientos de salud;13-300;Centro de Salud Familiar Barros Luco;Única
Sur;San Miguel;Personas mayores de 65 años y más;2474;;;Establecimientos de salud;13-302;Centro de Salud Familiar Recreo;Única
Suroriente;La Florida;Personas mayores de 65 años y más;40;;;Establecimientos de salud;14-105;Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza;Única
Suroriente;La Florida;Personas mayores de 65 años y más;294;;;Establecimientos de salud;14-302;Centro de Salud Familiar Los Castaños;Única
Suroriente;La Florida;Personas mayores de 65 años y más;301;;;Establecimientos de salud;14-303;Centro de Salud Familiar Bellavista;Única
Suroriente;La Florida;Personas mayores de 65 años y más;1953;;;Establecimientos de salud;14-304;Centro de Salud Familiar Villa O'Higgins;Única
Suroriente;La Florida;Personas mayores de 65 años y más;2028;;;Establecimientos de salud;14-305;Centro de Salud Familiar Los Quillayes;Única
Suroriente;La Florida;Personas mayores de 65 años y más;143;;;Establecimientos de salud;14-316;Centro de Salud Familiar Dr. Fernando Maffioletti;Única
Suroriente;La Florida;Personas mayores de 65 años y más;629;;;Establecimientos de salud;14-324;Centro de Salud Familiar Santa Amalia;Única
Suroriente;La Florida;Personas mayores de 65 años y más;577;;;Establecimientos de salud;14-330;Centro de Salud Familiar Trinidad;Única
Suroriente;La Florida;Personas mayores de 65 años y más;5788;;;Establecimientos de salud;14-331;Centro de Salud Familiar La Florida;Única
Suroriente;La Florida;Personas mayores de 65 años y más;855;;;Establecimientos de salud;14-334;Centro de Salud Familiar José Alvo;Única
Suroriente;La Granja;Personas mayores de 65 años y más;1221;;;Establecimientos de salud;14-306;Centro de Salud Familiar La Granja;Única
Suroriente;La Granja;Personas mayores de 65 años y más;647;;;Establecimientos de salud;14-315;Centro de Salud Familiar Malaquías Concha;Única
Suroriente;La Granja;Personas mayores de 65 años y más;1953;;;Establecimientos de salud;14-325;Centro de Salud Familiar Granja Sur;Única
Suroriente;La Pintana;Personas mayores de 65 años y más;765;;;Establecimientos de salud;14-308;Centro de Salud Familiar San Rafael;Única
Suroriente;La Pintana;Personas mayores de 65 años y más;682;;;Establecimientos de salud;14-309;Centro de Salud Familiar Pablo de Rokha;Única
Suroriente;La Pintana;Personas mayores de 65 años y más;533;;;Establecimientos de salud;14-311;Centro de Salud Familiar Santiago de Nueva Extremadura;Única
Suroriente;La Pintana;Personas mayores de 65 años y más;565;;;Establecimientos de salud;14-317;Centro de Salud Familiar Santo Tomás;Única
Suroriente;La Pintana;Personas mayores de 65 años y más;418;;;Establecimientos de salud;14-318;Centro de Salud Familiar Flor Fernández;Única
Suroriente;La Pintana;Personas mayores de 65 años y más;817;;;Establecimientos de salud;14-319;Centro de Salud Familiar El Roble;Única
Suroriente;La Pintana;Personas mayores de 65 años y más;291;;;Establecimientos de salud;14-327;Centro de Salud Familiar Juan Pablo II Red de Salud UC CHRISTUS;Única
Suroriente;Pirque;Personas mayores de 65 años y más;572;;;Establecimientos de salud;14-310;Centro de Salud Familiar Dr. José Manuel Balmaceda;Única
Suroriente;Pirque;Personas mayores de 65 años y más;445;;;Establecimientos de salud;14-333;Centro de Salud Rural El Principal;Única
Suroriente;Puente Alto;Personas mayores de 65 años y más;88;;;Establecimientos de salud;14-101;Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto);Única
Suroriente;Puente Alto;Personas mayores de 65 años y más;2122;;;Establecimientos de salud;14-301;Centro de Salud Familiar Dr. Alejandro del Río;Única
Suroriente;Puente Alto;Personas mayores de 65 años y más;1087;;;Establecimientos de salud;14-312;Centro de Salud Familiar San Gerónimo;Única
Suroriente;Puente Alto;Personas mayores de 65 años y más;374;;;Establecimientos de salud;14-313;Centro de Salud Familiar Vista Hermosa;Única
Suroriente;Puente Alto;Personas mayores de 65 años y más;1213;;;Establecimientos de salud;14-320;Centro de Salud Familiar Bernardo Leighton;Única
Suroriente;Puente Alto;Personas mayores de 65 años y más;418;;;Establecimientos de salud;14-321;Centro de Salud Familiar Cardenal Silva Henríquez;Única
Suroriente;Puente Alto;Personas mayores de 65 años y más;1668;;;Establecimientos de salud;14-322;Centro de Salud Familiar Padre Manuel Villaseca;Única
Suroriente;Puente Alto;Personas mayores de 65 años y más;389;;;Establecimientos de salud;14-323;Centro de Salud Familiar Madre Teresa de Calcuta Red de Salud UC CHRISTUS;Única
Suroriente;Puente Alto;Personas mayores de 65 años y más;422;;;Establecimientos de salud;14-326;Centro de Salud Familiar Karol Wojtyla;Única
Suroriente;Puente Alto;Personas mayores de 65 años y más;333;;;Establecimientos de salud;14-329;Centro de Salud Familiar San Alberto Hurtado Red de Salud UC CHRISTUS;Única
Suroriente;Puente Alto;Personas mayores de 65 años y más;4700;;;Establecimientos de salud;14-332;Centro de Salud Familiar Laurita Vicuña;Única
Suroriente;Puente Alto;Personas mayores de 65 años y más;1;;;Establecimientos de salud;14-902;Centro de Referencia de Salud Hospital Provincia Cordillera;Única
Suroriente;San José de Maipo;Personas mayores de 65 años y más;442;;;Establecimientos de salud;14-102;Hospital San José de Maipo;Única
Suroriente;San José de Maipo;Personas mayores de 65 años y más;215;;;Establecimientos de salud;14-407;Posta de Salud Rural Las Vertientes;Única
Suroriente;San Ramón;Personas mayores de 65 años y más;32;;;Establecimientos de salud;14-103;Hospital Padre Alberto Hurtado (San Ramón);Única
Suroriente;San Ramón;Personas mayores de 65 años y más;760;;;Establecimientos de salud;14-307;Centro de Salud Familiar La Bandera;Única
Suroriente;San Ramón;Personas mayores de 65 años y más;1350;;;Establecimientos de salud;14-314;Centro de Salud Familiar Dr. Salvador Allende (Ex Consultorio San Ramón);Única
Suroriente;San Ramón;Personas mayores de 65 años y más;761;;;Establecimientos de salud;14-328;Centro de Salud Familiar Poetisa Gabriela Mistral;Única
SEREMI Metropolitana de Santiago;Buin;Personas mayores de 65 años y más;27;;;Establecimientos de salud;201098;Centro Medico KINEROD;Única
SEREMI Metropolitana de Santiago;Buin;Personas mayores de 65 años y más;29;;;Establecimientos de salud;201162;KUME FELEN SPA;Única
SEREMI Metropolitana de Santiago;Colina;Personas mayores de 65 años y más;99;;;Establecimientos de salud;09-905;Centro Médico Clínica Alemana de Chicureo;Única
SEREMI Metropolitana de Santiago;Colina;Personas mayores de 65 años y más;105;;;Establecimientos de salud;09-927;Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.);Única
SEREMI Metropolitana de Santiago;Estación Central;Personas mayores de 65 años y más;108;;;Establecimientos de salud;11-202;Hospital Clínico Mutual de Seguridad C.CH.C.;Única
SEREMI Metropolitana de Santiago;Estación Central;Personas mayores de 65 años y más;184;;;Establecimientos de salud;11-230;Clínica Hospital del Profesor;Única
SEREMI Metropolitana de Santiago;Estación Central;Personas mayores de 65 años y más;208;;;Establecimientos de salud;11-295;Red Salud Santiago ex Clínica Bicentenario;Única
SEREMI Metropolitana de Santiago;Independencia;Personas mayores de 65 años y más;305;;;Establecimientos de salud;09-200;Hospital Clínico Universidad de Chile;Única
SEREMI Metropolitana de Santiago;La Florida;Personas mayores de 65 años y más;125;;;Establecimientos de salud;14-223;Clínica Vespucio;Única
SEREMI Metropolitana de Santiago;La Florida;Personas mayores de 65 años y más;44;;;Establecimientos de salud;14-908;Clínica Bupa Santiago;Única
SEREMI Metropolitana de Santiago;La Reina;Personas mayores de 65 años y más;1553;;;Establecimientos de salud;12-530;Hospital Militar de Santiago;Única
SEREMI Metropolitana de Santiago;La Reina;Personas mayores de 65 años y más;328;;;Establecimientos de salud;12-924;Vacunatorio Darvax;Única
SEREMI Metropolitana de Santiago;Las Condes;Personas mayores de 65 años y más;53;;;Establecimientos de salud;12-204;Nueva Clínica Cordillera;Única
SEREMI Metropolitana de Santiago;Las Condes;Personas mayores de 65 años y más;383;;;Establecimientos de salud;12-212;Clínica Las Condes;Única
SEREMI Metropolitana de Santiago;Las Condes;Personas mayores de 65 años y más;1591;;;Establecimientos de salud;12-238;Hospital FACH;Única
SEREMI Metropolitana de Santiago;Las Condes;Personas mayores de 65 años y más;39;;;Establecimientos de salud;12-248;Hospital Dipreca Teniente Hernán Merino;Única
SEREMI Metropolitana de Santiago;Las Condes;Personas mayores de 65 años y más;201;;;Establecimientos de salud;12-261;Clínica San Carlos de Apoquindo Red de Salud UC CHRISTUS;Única
SEREMI Metropolitana de Santiago;Las Condes;Personas mayores de 65 años y más;210;;;Establecimientos de salud;12-272;Centro Médico Militar Rosa O'Higgins;Única
SEREMI Metropolitana de Santiago;Las Condes;Personas mayores de 65 años y más;530;;;Establecimientos de salud;12-950;Hospital Clínico Universidad de Los Andes;Única
SEREMI Metropolitana de Santiago;Las Condes;Personas mayores de 65 años y más;15;;;Establecimientos de salud;201094;Vacunatorio Medicien Alto El Plomo;Única
SEREMI Metropolitana de Santiago;Las Condes;Personas mayores de 65 años y más;32;;;Establecimientos de salud;201157;Centro Médico y Dental Arauco Salud;Única
SEREMI Metropolitana de Santiago;Las Condes;Personas mayores de 65 años y más;1;;;Establecimientos de salud;201295;CENTRO DE VACUNACION INMUNOVAC;Única
SEREMI Metropolitana de Santiago;Lo Barnechea;Personas mayores de 65 años y más;160;;;Establecimientos de salud;12-522;Centro Médico Clínica Santa María La Dehesa;Única
SEREMI Metropolitana de Santiago;Lo Barnechea;Personas mayores de 65 años y más;218;;;Establecimientos de salud;12-527;Centro Médico Clínica Alemana (La Dehesa);Única
SEREMI Metropolitana de Santiago;Lo Barnechea;Personas mayores de 65 años y más;42;;;Establecimientos de salud;12-906;Clínica MEDS La Dehesa;Única
SEREMI Metropolitana de Santiago;Macul;Personas mayores de 65 años y más;373;;;Establecimientos de salud;12-512;Centro Médico San Joaquín Red de Salud UC CHRISTUS;Única
SEREMI Metropolitana de Santiago;Melipilla;Personas mayores de 65 años y más;89;;;Establecimientos de salud;10-270;Clínica Los Maitenes;Única
SEREMI Metropolitana de Santiago;Peñalolén;Personas mayores de 65 años y más;132;;;Establecimientos de salud;12-275;Centro Médico Alto Tobalaba - Vacunatorio Vacci Protex;Única
SEREMI Metropolitana de Santiago;Peñalolén;Personas mayores de 65 años y más;192;;;Establecimientos de salud;12-930;Clínica Las Condes Peñalolén;Única
SEREMI Metropolitana de Santiago;Providencia;Personas mayores de 65 años y más;217;;;Establecimientos de salud;12-211;Clínica Indisa;Única
SEREMI Metropolitana de Santiago;Providencia;Personas mayores de 65 años y más;26;;;Establecimientos de salud;12-244;Hospital del Trabajador Santiago;Única
