Comuna;CODIGO_DEIS;Establecimiento;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio
Santiago;11-370;Centro de Salud Familiar Padre Orellana;Única;4693;Población General;Central
Santiago;11-372;Centro de Salud Familiar Arauco;1° dosis;45;Población General;Central
Santiago;11-372;Centro de Salud Familiar Arauco;Única;2252;Población General;Central
Santiago;11-376;Centro de Salud Familiar Matta Sur;1° dosis;104;Población General;Central
Santiago;11-376;Centro de Salud Familiar Matta Sur;2° dosis;1;Población General;Central
Santiago;11-376;Centro de Salud Familiar Matta Sur;EPRO;1;Población General;Central
Santiago;11-376;Centro de Salud Familiar Matta Sur;Única;2710;Población General;Central
Santiago;11-381;Centro de Salud Familiar Ignacio Domeyko;1° dosis;194;Población General;Central
Santiago;11-381;Centro de Salud Familiar Ignacio Domeyko;Única;7476;Población General;Central
Talagante;10-130;Hospital Adalberto Steeger (Talagante);Única;574;Población General;Occidente
Talagante;10-390;Centro de Salud Familiar Dr. Alberto Allende Jones;1° dosis;325;Población General;Occidente
Talagante;10-390;Centro de Salud Familiar Dr. Alberto Allende Jones;2° dosis;2;Población General;Occidente
Talagante;10-390;Centro de Salud Familiar Dr. Alberto Allende Jones;EPRO;1;Población General;Occidente
Talagante;10-390;Centro de Salud Familiar Dr. Alberto Allende Jones;Única;7338;Población General;Occidente
Tiltil;09-104;Hospital de Til Til;1° dosis;20;Población General;Norte
Tiltil;09-104;Hospital de Til Til;EPRO;1;Población General;Norte
Tiltil;09-104;Hospital de Til Til;Única;946;Población General;Norte
Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;1° dosis;80;Población General;Norte
Tiltil;09-320;Centro de Salud Familiar Huertos Familiares;Única;1689;Población General;Norte
Tiltil;09-410;Posta de Salud Rural La Capilla de Caleu;1° dosis;2;Población General;Norte
Tiltil;09-410;Posta de Salud Rural La Capilla de Caleu;Única;43;Población General;Norte
Tiltil;09-412;Posta de Salud Rural Montenegro;Única;153;Población General;Norte
Tiltil;09-413;Posta de Salud Rural Rungue;1° dosis;9;Población General;Norte
Tiltil;09-413;Posta de Salud Rural Rungue;Única;157;Población General;Norte
Tiltil;09-414;Posta de Salud Rural Polpaico;1° dosis;1;Población General;Norte
Tiltil;09-414;Posta de Salud Rural Polpaico;Única;249;Población General;Norte
Vitacura;12-200;Clínica Alemana;1° dosis;390;Población General;Oriente
Vitacura;12-200;Clínica Alemana;Única;5364;Población General;Oriente
Vitacura;12-201;Clínica Tabancura;1° dosis;65;Población General;Oriente
Vitacura;12-201;Clínica Tabancura;Única;1661;Población General;Oriente
Vitacura;12-274;Procedimientos Clínicos Alto Tabancura;1° dosis;27;Población General;Oriente
Vitacura;12-274;Procedimientos Clínicos Alto Tabancura;Única;162;Población General;Oriente
Vitacura;12-309;Centro de Salud Familiar Vitacura;1° dosis;346;Población General;Oriente
Vitacura;12-309;Centro de Salud Familiar Vitacura;Única;8971;Población General;Oriente
Vitacura;201092;Vacunatorio Medicien_Vitacura;1° dosis;1;Población General;Oriente
Vitacura;201092;Vacunatorio Medicien_Vitacura;Única;98;Población General;Oriente
Ñuñoa;12-240;Hospital Carabineros;1° dosis;78;Población General;Oriente
Ñuñoa;12-240;Hospital Carabineros;Única;3350;Población General;Oriente
Ñuñoa;12-310;Centro de Salud Familiar Rosita Renard;1° dosis;55;Población General;Oriente
Ñuñoa;12-310;Centro de Salud Familiar Rosita Renard;EPRO;1;Población General;Oriente
Ñuñoa;12-310;Centro de Salud Familiar Rosita Renard;Única;881;Población General;Oriente
Ñuñoa;12-311;Centro de Salud Familiar Salvador Bustos;1° dosis;101;Población General;Oriente
Ñuñoa;12-311;Centro de Salud Familiar Salvador Bustos;2° dosis;1;Población General;Oriente
Ñuñoa;12-311;Centro de Salud Familiar Salvador Bustos;EPRO;2;Población General;Oriente
Ñuñoa;12-311;Centro de Salud Familiar Salvador Bustos;Única;10457;Población General;Oriente
Ñuñoa;12-911;Vacunatorio Pharmavisan;Única;2;Población General;Oriente
Ñuñoa;12-942;Vacunatorio Varik;1° dosis;90;Población General;Oriente
Ñuñoa;12-942;Vacunatorio Varik;Única;323;Población General;Oriente
Ñuñoa;201047;VACUNATORIO FASTFARMACHILE;Única;47;Población General;Oriente
Ñuñoa;201093;Vacunatorio Medicien_Ñuñoa;1° dosis;29;Población General;Oriente
Ñuñoa;201093;Vacunatorio Medicien_Ñuñoa;Única;302;Población General;Oriente
Alhué;10-393;Centro de Salud Familiar Villa Alhué;Única;455;Personas mayores de 65 años y más;Occidente
Buin;13-150;Hospital San Luis (Buin);EPRO;1;Personas mayores de 65 años y más;Sur
Buin;13-150;Hospital San Luis (Buin);Única;9;Personas mayores de 65 años y más;Sur
Buin;13-320;Centro de Salud Familiar Maipo;Única;577;Personas mayores de 65 años y más;Sur
Buin;13-333;Centro de Salud Familiar Alto Jahuel;Única;389;Personas mayores de 65 años y más;Sur
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;EPRO;2;Personas mayores de 65 años y más;Sur
Buin;13-390;Centro de Salud Familiar Dr. Héctor García;Única;1929;Personas mayores de 65 años y más;Sur
Buin;13-402;Centro Comunitario de Salud Familiar Dr. Ramón Galindo;Única;255;Personas mayores de 65 años y más;Sur
Buin;13-404;Posta de Salud Rural Valdivia de Paine;Única;127;Personas mayores de 65 años y más;Sur
Buin;13-405;Posta de Salud Rural Viluco;Única;123;Personas mayores de 65 años y más;Sur
Buin;13-406;Posta de Salud Rural El Recurso;Única;65;Personas mayores de 65 años y más;Sur
Buin;13-407;Posta de Salud Rural Los Morros;Única;136;Personas mayores de 65 años y más;Sur
Buin;13-790;Centro Comunitario de Salud Familiar Dr. Héctor García;Única;119;Personas mayores de 65 años y más;Sur
Buin;201098;Centro Medico KINEROD;Única;28;Personas mayores de 65 años y más;Sur
Buin;201162;KUME FELEN SPA;Única;37;Personas mayores de 65 años y más;Sur
Calera de Tango;13-321;Centro de Salud Familiar Calera de Tango;Única;383;Personas mayores de 65 años y más;Sur
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;EPRO;1;Personas mayores de 65 años y más;Sur
Calera de Tango;13-334;Centro de Salud Familiar Los Bajos de San Agustín;Única;566;Personas mayores de 65 años y más;Sur
Cerrillos;11-305;Centro de Salud Familiar Dr. Norman Voulliéme;Única;1650;Personas mayores de 65 años y más;Central
Cerrillos;11-307;Centro de Salud Familiar Enfermera Sofía Pincheira;Única;1712;Personas mayores de 65 años y más;Central
Cerro Navia;10-330;Centro de Salud Familiar Dr. Adalberto Steeger;Única;1356;Personas mayores de 65 años y más;Occidente
Cerro Navia;10-331;Centro de Salud Familiar Lo Amor;Única;752;Personas mayores de 65 años y más;Occidente
Cerro Navia;10-335;Centro de Salud Familiar Cerro Navia;Única;1446;Personas mayores de 65 años y más;Occidente
Cerro Navia;10-355;Centro de Salud Familiar Dr. Arturo Albertz;Única;1065;Personas mayores de 65 años y más;Occidente
Colina;09-310;Centro de Salud Familiar Colina;Única;2111;Personas mayores de 65 años y más;Norte
Colina;09-316;Centro de Salud Familiar Esmeralda;Única;870;Personas mayores de 65 años y más;Norte
Colina;09-417;Posta de Salud Rural Los Ingleses;Única;104;Personas mayores de 65 años y más;Norte
Colina;09-418;Posta de Salud Rural Las Canteras;Única;94;Personas mayores de 65 años y más;Norte
Colina;09-419;Posta de Salud Rural Santa Marta de Liray;Única;159;Personas mayores de 65 años y más;Norte
Colina;09-420;Posta de Salud Rural Chacabuco (Colina);Única;69;Personas mayores de 65 años y más;Norte
Colina;09-716;Centro Comunitario de Salud Familiar Esmeralda;Única;48;Personas mayores de 65 años y más;Norte
Colina;09-810;SAR Colina;Única;3;Personas mayores de 65 años y más;Norte
Colina;09-905;Centro Médico Clínica Alemana de Chicureo;Única;131;Personas mayores de 65 años y más;Norte
Colina;09-927;Centro Médico Clinica Las Condes de Chicureo (Servicios de Salud Integrados S.A.);Única;149;Personas mayores de 65 años y más;Norte
Colina;201087;VACUNATORIO CHICUREO SpA;Única;3;Personas mayores de 65 años y más;Norte
Conchalí;09-302;Centro de Salud Familiar Lucas Sierra;Única;2311;Personas mayores de 65 años y más;Norte
Conchalí;09-308;Centro de Salud Familiar Alberto Bachelet Martínez;Única;1199;Personas mayores de 65 años y más;Norte
Conchalí;09-309;Centro de Salud Familiar José Symon Ojeda;Única;1614;Personas mayores de 65 años y más;Norte
Conchalí;09-314;Centro de Salud Familiar Juanita Aguirre;Única;1130;Personas mayores de 65 años y más;Norte
Curacaví;10-160;Hospital de Curacaví;Única;1263;Personas mayores de 65 años y más;Occidente
El Bosque;13-312;Centro de Salud Familiar Dr. Carlos Lorca Tobar;Única;1989;Personas mayores de 65 años y más;Sur
El Bosque;13-314;Centro de Salud Familiar Cóndores de Chile;Única;1856;Personas mayores de 65 años y más;Sur
El Bosque;13-317;Centro de Salud Familiar Santa Laura;Única;1229;Personas mayores de 65 años y más;Sur
El Bosque;13-323;Centro de Salud Familiar Dr. Mario Salcedo;Única;913;Personas mayores de 65 años y más;Sur
El Bosque;13-324;Centro de Salud Familiar Dra. Haydeé López Casoou;Única;1500;Personas mayores de 65 años y más;Sur
El Bosque;13-329;Centro de Salud Familiar Canciller Orlando Letelier;Única;1291;Personas mayores de 65 años y más;Sur
El Monte;10-370;Centro de Salud Familiar El Monte;Única;1012;Personas mayores de 65 años y más;Occidente
Estación Central;11-202;Hospital Clínico Mutual de Seguridad C.CH.C.;Única;131;Personas mayores de 65 años y más;Central
Estación Central;11-230;Clínica Hospital del Profesor;Única;246;Personas mayores de 65 años y más;Central
Estación Central;11-295;Red Salud Santiago ex Clínica Bicentenario;Única;277;Personas mayores de 65 años y más;Central
Estación Central;11-302;Centro de Salud Familiar Padre Vicente Irarrázabal;Única;1102;Personas mayores de 65 años y más;Central
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;EPRO;1;Personas mayores de 65 años y más;Central
Estación Central;11-306;Centro de Salud Familiar San José de Chuchunco;Única;2164;Personas mayores de 65 años y más;Central
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;EPRO;2;Personas mayores de 65 años y más;Central
Estación Central;11-310;Centro de Salud Familiar Las Mercedes;Única;1362;Personas mayores de 65 años y más;Central
Huechuraba;09-305;Centro de Salud Familiar La Pincoya;Única;1379;Personas mayores de 65 años y más;Norte
Huechuraba;09-317;Centro de Salud Familiar El Barrero;Única;895;Personas mayores de 65 años y más;Norte
Huechuraba;09-323;Centro de Salud Familiar Dr. Salvador Allende Gossens;Única;583;Personas mayores de 65 años y más;Norte
Huechuraba;09-718;Centro Comunitario de Salud Familiar Los Libertadores;Única;611;Personas mayores de 65 años y más;Norte
Huechuraba;09-915;Centro de Salud Familiar Dr. Victor Castro Wiren;EPRO;1;Personas mayores de 65 años y más;Norte
Huechuraba;09-915;Centro de Salud Familiar Dr. Victor Castro Wiren;Única;806;Personas mayores de 65 años y más;Norte
Independencia;09-100;Complejo Hospitalario San José (Santiago, Independencia);Única;76;Personas mayores de 65 años y más;Norte
Independencia;09-101;Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia);Única;40;Personas mayores de 65 años y más;Norte
Independencia;09-200;Hospital Clínico Universidad de Chile;Única;384;Personas mayores de 65 años y más;Norte
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;EPRO;1;Personas mayores de 65 años y más;Norte
Independencia;09-300;Centro de Salud Familiar Agustín Cruz Melo;Única;3026;Personas mayores de 65 años y más;Norte
Independencia;09-321;Centro de Salud Familiar Juan Antonio Ríos;Única;1512;Personas mayores de 65 años y más;Norte
Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;EPRO;2;Personas mayores de 65 años y más;Occidente
Isla de Maipo;10-375;Centro de Salud Familiar Isla de Maipo;Única;1219;Personas mayores de 65 años y más;Occidente
Isla de Maipo;10-425;Centro de Salud Familiar La Islita;Única;642;Personas mayores de 65 años y más;Occidente
La Cisterna;13-311;Centro de Salud Familiar Santa Anselma;Única;2705;Personas mayores de 65 años y más;Sur
La Cisterna;13-326;Centro de Salud Familiar Eduardo Frei Montalva;Única;2154;Personas mayores de 65 años y más;Sur
La Florida;14-105;Hospital Clínico Metropolitano La Florida Dra. Eloísa Díaz Insunza;Única;41;Personas mayores de 65 años y más;Suroriente
La Florida;14-223;Clínica Vespucio;Única;181;Personas mayores de 65 años y más;Suroriente
La Florida;14-302;Centro de Salud Familiar Los Castaños;Única;332;Personas mayores de 65 años y más;Suroriente
La Florida;14-303;Centro de Salud Familiar Bellavista;Única;438;Personas mayores de 65 años y más;Suroriente
La Florida;14-304;Centro de Salud Familiar Villa O'Higgins;EPRO;1;Personas mayores de 65 años y más;Suroriente
La Florida;14-304;Centro de Salud Familiar Villa O'Higgins;Única;2532;Personas mayores de 65 años y más;Suroriente
La Florida;14-305;Centro de Salud Familiar Los Quillayes;Única;2551;Personas mayores de 65 años y más;Suroriente
La Florida;14-316;Centro de Salud Familiar Dr. Fernando Maffioletti;Única;236;Personas mayores de 65 años y más;Suroriente
La Florida;14-324;Centro de Salud Familiar Santa Amalia;EPRO;1;Personas mayores de 65 años y más;Suroriente
La Florida;14-324;Centro de Salud Familiar Santa Amalia;Única;966;Personas mayores de 65 años y más;Suroriente
La Florida;14-330;Centro de Salud Familiar Trinidad;Única;807;Personas mayores de 65 años y más;Suroriente
La Florida;14-331;Centro de Salud Familiar La Florida;Única;7726;Personas mayores de 65 años y más;Suroriente
La Florida;14-334;Centro de Salud Familiar José Alvo;EPRO;2;Personas mayores de 65 años y más;Suroriente
La Florida;14-334;Centro de Salud Familiar José Alvo;Única;1131;Personas mayores de 65 años y más;Suroriente
La Florida;14-908;Clínica Bupa Santiago;Única;65;Personas mayores de 65 años y más;Suroriente
La Granja;13-307;Centro de Salud Familiar Padre Esteban Gumucio Vives;Única;1814;Personas mayores de 65 años y más;Suroriente
La Granja;14-306;Centro de Salud Familiar La Granja;EPRO;2;Personas mayores de 65 años y más;Suroriente
La Granja;14-306;Centro de Salud Familiar La Granja;Única;1555;Personas mayores de 65 años y más;Suroriente
La Granja;14-315;Centro de Salud Familiar Malaquías Concha;EPRO;1;Personas mayores de 65 años y más;Suroriente
La Granja;14-315;Centro de Salud Familiar Malaquías Concha;Única;890;Personas mayores de 65 años y más;Suroriente
La Granja;14-325;Centro de Salud Familiar Granja Sur;EPRO;6;Personas mayores de 65 años y más;Suroriente
La Granja;14-325;Centro de Salud Familiar Granja Sur;Única;2380;Personas mayores de 65 años y más;Suroriente
La Pintana;14-308;Centro de Salud Familiar San Rafael;Única;1031;Personas mayores de 65 años y más;Suroriente
La Pintana;14-309;Centro de Salud Familiar Pablo de Rokha;Única;880;Personas mayores de 65 años y más;Suroriente
La Pintana;14-311;Centro de Salud Familiar Santiago de Nueva Extremadura;Única;659;Personas mayores de 65 años y más;Suroriente
La Pintana;14-317;Centro de Salud Familiar Santo Tomás;Única;737;Personas mayores de 65 años y más;Suroriente
La Pintana;14-318;Centro de Salud Familiar Flor Fernández;Única;572;Personas mayores de 65 años y más;Suroriente
La Pintana;14-319;Centro de Salud Familiar El Roble;Única;1102;Personas mayores de 65 años y más;Suroriente
La Pintana;14-327;Centro de Salud Familiar Juan Pablo II Red de Salud UC CHRISTUS;Única;374;Personas mayores de 65 años y más;Suroriente
La Reina;12-317;Centro de Salud Familiar Ossandon;Única;4490;Personas mayores de 65 años y más;Oriente
La Reina;12-320;Centro de Salud Familiar Juan Pablo II ( La Reina);Única;168;Personas mayores de 65 años y más;Oriente
La Reina;12-530;Hospital Militar de Santiago;Única;2124;Personas mayores de 65 años y más;Oriente
La Reina;12-924;Vacunatorio Darvax;Única;475;Personas mayores de 65 años y más;Oriente
Lampa;09-311;Centro de Salud Familiar José Bauza Frau;Única;1376;Personas mayores de 65 años y más;Norte
Lampa;09-312;Centro de Salud Familiar Batuco;Única;610;Personas mayores de 65 años y más;Norte
Lampa;09-407;Posta de Salud Rural Juan Pablo II de Lampa;Única;501;Personas mayores de 65 años y más;Norte
Las Condes;12-204;Nueva Clínica Cordillera;Única;73;Personas mayores de 65 años y más;Oriente
Las Condes;12-212;Clínica Las Condes;Única;518;Personas mayores de 65 años y más;Oriente
Las Condes;12-238;Hospital FACH;Única;2055;Personas mayores de 65 años y más;Oriente
Las Condes;12-248;Hospital Dipreca Teniente Hernán Merino;Única;43;Personas mayores de 65 años y más;Oriente
Las Condes;12-261;Clínica San Carlos de Apoquindo Red de Salud UC CHRISTUS;Única;302;Personas mayores de 65 años y más;Oriente
Las Condes;12-272;Centro Médico Militar Rosa O'Higgins;Única;257;Personas mayores de 65 años y más;Oriente
Las Condes;12-304;Centro de Salud Familiar Apoquindo;Única;12560;Personas mayores de 65 años y más;Oriente
Las Condes;12-306;Centro de Salud Familiar Aníbal Ariztía;EPRO;1;Personas mayores de 65 años y más;Oriente
Las Condes;12-306;Centro de Salud Familiar Aníbal Ariztía;Única;2296;Personas mayores de 65 años y más;Oriente
Las Condes;12-950;Hospital Clínico Universidad de Los Andes;Única;689;Personas mayores de 65 años y más;Oriente
Las Condes;201094;Vacunatorio Medicien Alto El Plomo;Única;20;Personas mayores de 65 años y más;Oriente
Las Condes;201157;Centro Médico y Dental Arauco Salud;Única;48;Personas mayores de 65 años y más;Oriente
Las Condes;201295;CENTRO DE VACUNACION INMUNOVAC;Única;1;Personas mayores de 65 años y más;Oriente
Lo Barnechea;12-307;Centro de Salud Familiar Lo Barnechea;Única;3373;Personas mayores de 65 años y más;Oriente
Lo Barnechea;12-522;Centro Médico Clínica Santa María La Dehesa;Única;200;Personas mayores de 65 años y más;Oriente
Lo Barnechea;12-527;Centro Médico Clínica Alemana (La Dehesa);Única;292;Personas mayores de 65 años y más;Oriente
Lo Barnechea;12-906;Clínica MEDS La Dehesa;Única;65;Personas mayores de 65 años y más;Oriente
Lo Espejo;13-308;Centro de Salud Familiar Clara Estrella;Única;925;Personas mayores de 65 años y más;Sur
Lo Espejo;13-309;Centro de Salud Familiar Julio Acuña Pinzón;Única;883;Personas mayores de 65 años y más;Sur
Lo Espejo;13-310;Centro de Salud Familiar Dra. Mariela Salgado Zepeda;Única;1003;Personas mayores de 65 años y más;Sur
Lo Espejo;13-396;Centro de Salud Familiar Pueblo Lo Espejo;Única;746;Personas mayores de 65 años y más;Sur
Lo Prado;10-315;Centro de Salud Familiar Santa Anita;Única;1493;Personas mayores de 65 años y más;Occidente
Lo Prado;10-316;Centro de Salud Familiar Pablo Neruda;Única;1865;Personas mayores de 65 años y más;Occidente
Lo Prado;10-340;Centro de Salud Familiar Dr. Raúl Yazigi;Única;2079;Personas mayores de 65 años y más;Occidente
Lo Prado;10-345;Centro de Salud Familiar Dr. Carlos Avendaño;EPRO;1;Personas mayores de 65 años y más;Occidente
Lo Prado;10-345;Centro de Salud Familiar Dr. Carlos Avendaño;Única;1596;Personas mayores de 65 años y más;Occidente
Macul;12-312;Centro de Salud Familiar Félix de Amesti;EPRO;6;Personas mayores de 65 años y más;Oriente
Macul;12-312;Centro de Salud Familiar Félix de Amesti;Única;2320;Personas mayores de 65 años y más;Oriente
Macul;12-313;Centro de Salud Familiar Santa Julia;Única;1679;Personas mayores de 65 años y más;Oriente
Macul;12-319;Centro de Salud Familiar Padre Alberto Hurtado;EPRO;2;Personas mayores de 65 años y más;Oriente
Macul;12-319;Centro de Salud Familiar Padre Alberto Hurtado;Única;1267;Personas mayores de 65 años y más;Oriente
Macul;12-512;Centro Médico San Joaquín Red de Salud UC CHRISTUS;EPRO;1;Personas mayores de 65 años y más;Oriente
Macul;12-512;Centro Médico San Joaquín Red de Salud UC CHRISTUS;Única;521;Personas mayores de 65 años y más;Oriente
Maipú;11-101;Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada;Única;34;Personas mayores de 65 años y más;Central
Maipú;11-304;Centro de Salud Familiar Maipú;EPRO;2;Personas mayores de 65 años y más;Central
Maipú;11-304;Centro de Salud Familiar Maipú;Única;4248;Personas mayores de 65 años y más;Central
Maipú;11-308;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Única;2372;Personas mayores de 65 años y más;Central
Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;EPRO;1;Personas mayores de 65 años y más;Central
Maipú;11-309;Centro de Salud Familiar Dra. Ana María Juricic;Única;914;Personas mayores de 65 años y más;Central
Maipú;11-351;Centro de Referencia de Salud de Maipú;Única;9;Personas mayores de 65 años y más;Central
Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;EPRO;3;Personas mayores de 65 años y más;Central
Maipú;11-378;Centro de Salud Familiar Dr. Iván Insunza;Única;2201;Personas mayores de 65 años y más;Central
Maipú;11-379;Centro de Salud Familiar Clotario Blest;EPRO;1;Personas mayores de 65 años y más;Central
Maipú;11-379;Centro de Salud Familiar Clotario Blest;Única;2843;Personas mayores de 65 años y más;Central
Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;EPRO;1;Personas mayores de 65 años y más;Central
Maipú;11-380;Centro de Salud Familiar Dr. Carlos Godoy;Única;2174;Personas mayores de 65 años y más;Central
Maipú;11-382;Centro de Salud Familiar Presidenta Michelle Bachelet;Única;3703;Personas mayores de 65 años y más;Central
Maipú;11-383;Centro de Salud Familiar Dr. Luis Ferrada;Única;2222;Personas mayores de 65 años y más;Central
Maipú;201290;Vacunatorio INMUVAX;Única;3;Personas mayores de 65 años y más;Central
María Pinto;10-385;Centro de Salud Familiar Adriana Madrid De Costabal;Única;843;Personas mayores de 65 años y más;Occidente
Melipilla;10-150;Hospital San José (Melipilla);Única;25;Personas mayores de 65 años y más;Occidente
Melipilla;10-270;Clínica Los Maitenes;Única;113;Personas mayores de 65 años y más;Occidente
Melipilla;10-378;Centro de Salud Familiar Dr. Edelberto Elgueta;EPRO;1;Personas mayores de 65 años y más;Occidente
Melipilla;10-378;Centro de Salud Familiar Dr. Edelberto Elgueta;Única;882;Personas mayores de 65 años y más;Occidente
Melipilla;10-379;Centro de Salud Familiar Dr. Francisco Boris Soler;EPRO;1;Personas mayores de 65 años y más;Occidente
Melipilla;10-379;Centro de Salud Familiar Dr. Francisco Boris Soler;Única;1264;Personas mayores de 65 años y más;Occidente
Melipilla;10-380;Centro de Salud Familiar San Manuel;EPRO;1;Personas mayores de 65 años y más;Occidente
Melipilla;10-380;Centro de Salud Familiar San Manuel;Única;459;Personas mayores de 65 años y más;Occidente
Melipilla;10-381;Centro de Salud Familiar Alfarera Rosa Reyes Vilches;Única;271;Personas mayores de 65 años y más;Occidente
Melipilla;10-440;Posta de Salud Rural Bollenar;Única;320;Personas mayores de 65 años y más;Occidente
Melipilla;10-445;Posta de Salud Rural Pahuilmo;Única;201;Personas mayores de 65 años y más;Occidente
Melipilla;10-455;Posta de salud Rural Pabellón;Única;40;Personas mayores de 65 años y más;Occidente
Melipilla;10-938;Centro de Salud Familiar Florencia;Única;2807;Personas mayores de 65 años y más;Occidente
Padre Hurtado;10-366;Centro de Salud Familiar Juan Pablo II ( Padre Hurtado);Única;1894;Personas mayores de 65 años y más;Occidente
Paine;13-318;Centro de Salud Familiar Dr. Miguel Ángel Solar (ex CESFAM Paine);Única;1343;Personas mayores de 65 años y más;Sur
Paine;13-319;Centro de Salud Familiar Dr. Raúl Moya;Única;762;Personas mayores de 65 años y más;Sur
Paine;13-408;Posta de Salud Rural Pintué;Única;350;Personas mayores de 65 años y más;Sur
Paine;13-409;Posta de Salud Rural Huelquén;Única;289;Personas mayores de 65 años y más;Sur
Paine;13-410;Posta de Salud Rural Rangue;Única;48;Personas mayores de 65 años y más;Sur
Paine;13-411;Posta de Salud Rural Abrantes;Única;81;Personas mayores de 65 años y más;Sur
Paine;13-412;Posta de Salud Rural Chada;Única;69;Personas mayores de 65 años y más;Sur
Pedro Aguirre Cerda;11-303;Centro de Salud Familiar Lo Valledor Norte;Única;1029;Personas mayores de 65 años y más;Sur
Pedro Aguirre Cerda;13-303;Centro de Salud Familiar Amador Neghme;Única;1361;Personas mayores de 65 años y más;Sur
Pedro Aguirre Cerda;13-306;Centro de Salud Familiar Padre Pierre Dubois (Ex La Feria);Única;2200;Personas mayores de 65 años y más;Sur
Pedro Aguirre Cerda;13-331;Centro de Salud Familiar Edgardo Enríquez Fröedden;Única;1052;Personas mayores de 65 años y más;Sur
Peñaflor;10-140;Hospital de Peñaflor;Única;9;Personas mayores de 65 años y más;Occidente
Peñaflor;10-308;Centro de Salud Familiar Peñaflor;Única;2654;Personas mayores de 65 años y más;Occidente
Peñaflor;10-369;Centro de Salud Familiar Dr. Fernando Monckeberg;Única;1033;Personas mayores de 65 años y más;Occidente
Peñalolén;12-101;Hospital Dr. Luis Tisné B. (Santiago, Peñalolén);Única;30;Personas mayores de 65 años y más;Oriente
Peñalolén;12-105;Instituto Nacional de Rehabilitación Infantil Presidente Pedro Aguirre Cerda;Única;6;Personas mayores de 65 años y más;Oriente
Peñalolén;12-275;Centro Médico Alto Tobalaba - Vacunatorio Vacci Protex;Única;186;Personas mayores de 65 años y más;Oriente
Peñalolén;12-300;Centro de Referencia de Salud Cordillera Oriente;Única;3;Personas mayores de 65 años y más;Oriente
Peñalolén;12-314;Centro de Salud Familiar La Faena;Única;1310;Personas mayores de 65 años y más;Oriente
Peñalolén;12-315;Centro de Salud Familiar San Luis;Única;1295;Personas mayores de 65 años y más;Oriente
Peñalolén;12-316;Centro de Salud Familiar Carol Urzúa Ibáñez;EPRO;3;Personas mayores de 65 años y más;Oriente
Peñalolén;12-316;Centro de Salud Familiar Carol Urzúa Ibáñez;Única;2247;Personas mayores de 65 años y más;Oriente
Peñalolén;12-318;Centro de Salud Familiar Lo Hermida;Única;967;Personas mayores de 65 años y más;Oriente
Peñalolén;12-321;Centro de Salud Familiar Cardenal Silva Henríquez;Única;586;Personas mayores de 65 años y más;Oriente
Peñalolén;12-322;Centro de Salud Familiar Padre Gerardo Whelan;EPRO;1;Personas mayores de 65 años y más;Oriente
Peñalolén;12-322;Centro de Salud Familiar Padre Gerardo Whelan;Única;1011;Personas mayores de 65 años y más;Oriente
Peñalolén;12-930;Clínica Las Condes Peñalolén;Única;257;Personas mayores de 65 años y más;Oriente
Peñalolén;201112;CESFAM Las Torres;EPRO;3;Personas mayores de 65 años y más;Oriente
Peñalolén;201112;CESFAM Las Torres;Única;1396;Personas mayores de 65 años y más;Oriente
Pirque;14-310;Centro de Salud Familiar Dr. José Manuel Balmaceda;Única;751;Personas mayores de 65 años y más;Suroriente
Pirque;14-333;Centro de Salud Rural El Principal;EPRO;1;Personas mayores de 65 años y más;Suroriente
Pirque;14-333;Centro de Salud Rural El Principal;Única;567;Personas mayores de 65 años y más;Suroriente
Providencia;12-100;Hospital Del Salvador de Santiago;Única;92;Personas mayores de 65 años y más;Oriente
Providencia;12-102;Hospital de Niños Dr. Luis Calvo Mackenna;Única;50;Personas mayores de 65 años y más;Oriente
Providencia;12-103;Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica;Única;12;Personas mayores de 65 años y más;Oriente
Providencia;12-104;Instituto de Neurocirugía Dr. Alfonso Asenjo;Única;17;Personas mayores de 65 años y más;Oriente
Providencia;12-106;Instituto Nacional Geriátrico Presidente Eduardo Frei Montalva;Única;10;Personas mayores de 65 años y más;Oriente
Providencia;12-211;Clínica Indisa;Única;271;Personas mayores de 65 años y más;Oriente
Providencia;12-244;Hospital del Trabajador Santiago;Única;26;Personas mayores de 65 años y más;Oriente
Providencia;12-249;Clínica Santa María;Única;382;Personas mayores de 65 años y más;Oriente
Providencia;12-301;Centro de Salud Familiar Dr. Hernán Alessandri;EPRO;2;Personas mayores de 65 años y más;Oriente
Providencia;12-301;Centro de Salud Familiar Dr. Hernán Alessandri;Única;1918;Personas mayores de 65 años y más;Oriente
