Comuna;Dosis;N° de vacunados;Criterio_elegibilidad;Servicio
Lo Espejo;Única;12;Estrategia Capullo;Sur
Lo Prado;Única;2;Estrategia Capullo;Occidente
Macul;Única;14;Estrategia Capullo;Oriente
Maipú;Única;41;Estrategia Capullo;Central
María Pinto;Única;1;Estrategia Capullo;Occidente
Melipilla;Única;53;Estrategia Capullo;Occidente
Paine;Única;24;Estrategia Capullo;Sur
Pedro Aguirre Cerda;Única;24;Estrategia Capullo;Sur
Peñaflor;Única;18;Estrategia Capullo;Occidente
Peñalolén;Única;11;Estrategia Capullo;Oriente
Providencia;Única;23;Estrategia Capullo;Oriente
Pudahuel;Única;16;Estrategia Capullo;Occidente
Puente Alto;Única;41;Estrategia Capullo;Suroriente
Quilicura;Única;103;Estrategia Capullo;Norte
Quinta Normal;Única;5;Estrategia Capullo;Occidente
Recoleta;Única;33;Estrategia Capullo;Norte
Renca;Única;48;Estrategia Capullo;Occidente
San Bernardo;Única;45;Estrategia Capullo;Sur
San Joaquín;Única;30;Estrategia Capullo;Sur
San José de Maipo;Única;1;Estrategia Capullo;Suroriente
San Miguel;Única;28;Estrategia Capullo;Sur
San Ramón;Única;5;Estrategia Capullo;Suroriente
Santiago;Única;63;Estrategia Capullo;Central
Talagante;Única;5;Estrategia Capullo;Occidente
Tiltil;Única;35;Estrategia Capullo;Norte
Vitacura;Única;7;Estrategia Capullo;Oriente
Ñuñoa;Única;28;Estrategia Capullo;Oriente
Alhué;Única;605;Enfermos cronicos de 11 a 64 años de edad;Occidente
Buin;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Sur
Buin;Única;3808;Enfermos cronicos de 11 a 64 años de edad;Sur
Calera de Tango;Única;845;Enfermos cronicos de 11 a 64 años de edad;Sur
Cerrillos;Única;2717;Enfermos cronicos de 11 a 64 años de edad;Central
Cerro Navia;Única;5061;Enfermos cronicos de 11 a 64 años de edad;Occidente
Colina;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Norte
Colina;Única;3721;Enfermos cronicos de 11 a 64 años de edad;Norte
Conchalí;Única;3849;Enfermos cronicos de 11 a 64 años de edad;Norte
Curacaví;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Occidente
Curacaví;Única;904;Enfermos cronicos de 11 a 64 años de edad;Occidente
El Bosque;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Sur
El Bosque;Única;7863;Enfermos cronicos de 11 a 64 años de edad;Sur
El Monte;Única;930;Enfermos cronicos de 11 a 64 años de edad;Occidente
Estación Central;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Central
Estación Central;Única;3813;Enfermos cronicos de 11 a 64 años de edad;Central
Huechuraba;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Norte
Huechuraba;Única;5981;Enfermos cronicos de 11 a 64 años de edad;Norte
Independencia;EPRO;4;Enfermos cronicos de 11 a 64 años de edad;Norte
Independencia;Única;2840;Enfermos cronicos de 11 a 64 años de edad;Norte
Isla de Maipo;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Occidente
Isla de Maipo;Única;1605;Enfermos cronicos de 11 a 64 años de edad;Occidente
La Cisterna;Única;4322;Enfermos cronicos de 11 a 64 años de edad;Sur
La Florida;Única;7983;Enfermos cronicos de 11 a 64 años de edad;Suroriente
La Granja;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Suroriente
La Granja;Única;5384;Enfermos cronicos de 11 a 64 años de edad;Suroriente
La Pintana;Única;4360;Enfermos cronicos de 11 a 64 años de edad;Suroriente
La Reina;Única;1955;Enfermos cronicos de 11 a 64 años de edad;Oriente
Lampa;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Norte
Lampa;Única;2984;Enfermos cronicos de 11 a 64 años de edad;Norte
Las Condes;Única;4975;Enfermos cronicos de 11 a 64 años de edad;Oriente
Lo Barnechea;Única;1706;Enfermos cronicos de 11 a 64 años de edad;Oriente
Lo Espejo;Única;2868;Enfermos cronicos de 11 a 64 años de edad;Sur
Lo Prado;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Occidente
Lo Prado;Única;5587;Enfermos cronicos de 11 a 64 años de edad;Occidente
Macul;EPRO;4;Enfermos cronicos de 11 a 64 años de edad;Oriente
Macul;Única;3035;Enfermos cronicos de 11 a 64 años de edad;Oriente
Maipú;EPRO;4;Enfermos cronicos de 11 a 64 años de edad;Central
Maipú;Única;16851;Enfermos cronicos de 11 a 64 años de edad;Central
María Pinto;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Occidente
María Pinto;Única;661;Enfermos cronicos de 11 a 64 años de edad;Occidente
Melipilla;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Occidente
Melipilla;Única;5280;Enfermos cronicos de 11 a 64 años de edad;Occidente
Padre Hurtado;Única;1877;Enfermos cronicos de 11 a 64 años de edad;Occidente
Paine;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Sur
Paine;Única;2994;Enfermos cronicos de 11 a 64 años de edad;Sur
Pedro Aguirre Cerda;Única;3610;Enfermos cronicos de 11 a 64 años de edad;Sur
Peñaflor;Única;2607;Enfermos cronicos de 11 a 64 años de edad;Occidente
Peñalolén;EPRO;2;Enfermos cronicos de 11 a 64 años de edad;Oriente
Peñalolén;Única;7094;Enfermos cronicos de 11 a 64 años de edad;Oriente
Pirque;Única;943;Enfermos cronicos de 11 a 64 años de edad;Suroriente
Providencia;Única;2595;Enfermos cronicos de 11 a 64 años de edad;Oriente
Pudahuel;EPRO;3;Enfermos cronicos de 11 a 64 años de edad;Occidente
Pudahuel;Única;12272;Enfermos cronicos de 11 a 64 años de edad;Occidente
Puente Alto;EPRO;3;Enfermos cronicos de 11 a 64 años de edad;Suroriente
Puente Alto;Única;16208;Enfermos cronicos de 11 a 64 años de edad;Suroriente
Quilicura;EPRO;2;Enfermos cronicos de 11 a 64 años de edad;Norte
Quilicura;Única;7078;Enfermos cronicos de 11 a 64 años de edad;Norte
Quinta Normal;Única;3826;Enfermos cronicos de 11 a 64 años de edad;Occidente
Recoleta;EPRO;2;Enfermos cronicos de 11 a 64 años de edad;Norte
Recoleta;Única;5844;Enfermos cronicos de 11 a 64 años de edad;Norte
Renca;Única;4356;Enfermos cronicos de 11 a 64 años de edad;Occidente
San Bernardo;Única;6998;Enfermos cronicos de 11 a 64 años de edad;Sur
San Joaquín;Única;3218;Enfermos cronicos de 11 a 64 años de edad;Sur
San José de Maipo;Única;611;Enfermos cronicos de 11 a 64 años de edad;Suroriente
San Miguel;Única;4210;Enfermos cronicos de 11 a 64 años de edad;Sur
San Pedro;Única;458;Enfermos cronicos de 11 a 64 años de edad;Occidente
San Ramón;EPRO;2;Enfermos cronicos de 11 a 64 años de edad;Suroriente
San Ramón;Única;3368;Enfermos cronicos de 11 a 64 años de edad;Suroriente
Santiago;EPRO;4;Enfermos cronicos de 11 a 64 años de edad;Central
Santiago;Única;10221;Enfermos cronicos de 11 a 64 años de edad;Central
Talagante;Única;2485;Enfermos cronicos de 11 a 64 años de edad;Occidente
Tiltil;Única;892;Enfermos cronicos de 11 a 64 años de edad;Norte
Vitacura;Única;1020;Enfermos cronicos de 11 a 64 años de edad;Oriente
Ñuñoa;EPRO;1;Enfermos cronicos de 11 a 64 años de edad;Oriente
Ñuñoa;Única;4305;Enfermos cronicos de 11 a 64 años de edad;Oriente
Alhué;Única;68;Escolares de 1° a 5° año básico;Occidente
Buin;1° dosis;47;Escolares de 1° a 5° año básico;Sur
Buin;2° dosis;1;Escolares de 1° a 5° año básico;Sur
Buin;Única;1892;Escolares de 1° a 5° año básico;Sur
Calera de Tango;1° dosis;3;Escolares de 1° a 5° año básico;Sur
Calera de Tango;Única;899;Escolares de 1° a 5° año básico;Sur
Cerrillos;1° dosis;79;Escolares de 1° a 5° año básico;Central
Cerrillos;Única;1412;Escolares de 1° a 5° año básico;Central
Cerro Navia;1° dosis;194;Escolares de 1° a 5° año básico;Occidente
Cerro Navia;2° dosis;1;Escolares de 1° a 5° año básico;Occidente
Cerro Navia;Única;1962;Escolares de 1° a 5° año básico;Occidente
Colina;1° dosis;111;Escolares de 1° a 5° año básico;Norte
Colina;EPRO;1;Escolares de 1° a 5° año básico;Norte
Colina;Única;1518;Escolares de 1° a 5° año básico;Norte
Conchalí;1° dosis;192;Escolares de 1° a 5° año básico;Norte
Conchalí;2° dosis;1;Escolares de 1° a 5° año básico;Norte
Conchalí;EPRO;1;Escolares de 1° a 5° año básico;Norte
Conchalí;Única;1975;Escolares de 1° a 5° año básico;Norte
Curacaví;1° dosis;3;Escolares de 1° a 5° año básico;Occidente
Curacaví;Única;52;Escolares de 1° a 5° año básico;Occidente
El Bosque;1° dosis;470;Escolares de 1° a 5° año básico;Sur
El Bosque;EPRO;1;Escolares de 1° a 5° año básico;Sur
El Bosque;Única;5160;Escolares de 1° a 5° año básico;Sur
El Monte;1° dosis;7;Escolares de 1° a 5° año básico;Occidente
El Monte;Única;95;Escolares de 1° a 5° año básico;Occidente
Estación Central;1° dosis;235;Escolares de 1° a 5° año básico;Central
Estación Central;2° dosis;2;Escolares de 1° a 5° año básico;Central
Estación Central;Única;2449;Escolares de 1° a 5° año básico;Central
Huechuraba;1° dosis;575;Escolares de 1° a 5° año básico;Norte
Huechuraba;Única;3882;Escolares de 1° a 5° año básico;Norte
Independencia;1° dosis;11;Escolares de 1° a 5° año básico;Norte
Independencia;2° dosis;1;Escolares de 1° a 5° año básico;Norte
Independencia;Única;378;Escolares de 1° a 5° año básico;Norte
Isla de Maipo;1° dosis;40;Escolares de 1° a 5° año básico;Occidente
Isla de Maipo;Única;924;Escolares de 1° a 5° año básico;Occidente
La Cisterna;1° dosis;49;Escolares de 1° a 5° año básico;Sur
La Cisterna;2° dosis;1;Escolares de 1° a 5° año básico;Sur
La Cisterna;Única;1131;Escolares de 1° a 5° año básico;Sur
La Florida;1° dosis;127;Escolares de 1° a 5° año básico;Suroriente
La Florida;Única;2233;Escolares de 1° a 5° año básico;Suroriente
La Granja;1° dosis;179;Escolares de 1° a 5° año básico;Suroriente
La Granja;Única;4685;Escolares de 1° a 5° año básico;Suroriente
La Pintana;1° dosis;129;Escolares de 1° a 5° año básico;Suroriente
La Pintana;EPRO;1;Escolares de 1° a 5° año básico;Suroriente
La Pintana;Única;1744;Escolares de 1° a 5° año básico;Suroriente
La Reina;1° dosis;182;Escolares de 1° a 5° año básico;Oriente
La Reina;2° dosis;1;Escolares de 1° a 5° año básico;Oriente
La Reina;EPRO;1;Escolares de 1° a 5° año básico;Oriente
La Reina;Única;2526;Escolares de 1° a 5° año básico;Oriente
Lampa;1° dosis;66;Escolares de 1° a 5° año básico;Norte
Lampa;Única;1489;Escolares de 1° a 5° año básico;Norte
Las Condes;1° dosis;65;Escolares de 1° a 5° año básico;Oriente
Las Condes;2° dosis;2;Escolares de 1° a 5° año básico;Oriente
Las Condes;Única;2243;Escolares de 1° a 5° año básico;Oriente
Lo Barnechea;1° dosis;233;Escolares de 1° a 5° año básico;Oriente
Lo Barnechea;EPRO;1;Escolares de 1° a 5° año básico;Oriente
Lo Barnechea;Única;3010;Escolares de 1° a 5° año básico;Oriente
Lo Espejo;1° dosis;23;Escolares de 1° a 5° año básico;Sur
Lo Espejo;2° dosis;1;Escolares de 1° a 5° año básico;Sur
Lo Espejo;Única;894;Escolares de 1° a 5° año básico;Sur
Lo Prado;1° dosis;315;Escolares de 1° a 5° año básico;Occidente
Lo Prado;2° dosis;1;Escolares de 1° a 5° año básico;Occidente
Lo Prado;EPRO;2;Escolares de 1° a 5° año básico;Occidente
Lo Prado;Única;3190;Escolares de 1° a 5° año básico;Occidente
Macul;1° dosis;449;Escolares de 1° a 5° año básico;Oriente
Macul;Única;3072;Escolares de 1° a 5° año básico;Oriente
Maipú;1° dosis;164;Escolares de 1° a 5° año básico;Central
Maipú;2° dosis;1;Escolares de 1° a 5° año básico;Central
Maipú;EPRO;1;Escolares de 1° a 5° año básico;Central
Maipú;Única;5350;Escolares de 1° a 5° año básico;Central
María Pinto;1° dosis;1;Escolares de 1° a 5° año básico;Occidente
María Pinto;Única;598;Escolares de 1° a 5° año básico;Occidente
Melipilla;1° dosis;92;Escolares de 1° a 5° año básico;Occidente
Melipilla;Única;4911;Escolares de 1° a 5° año básico;Occidente
Padre Hurtado;1° dosis;54;Escolares de 1° a 5° año básico;Occidente
Padre Hurtado;Única;930;Escolares de 1° a 5° año básico;Occidente
Paine;1° dosis;15;Escolares de 1° a 5° año básico;Sur
Paine;Única;714;Escolares de 1° a 5° año básico;Sur
Pedro Aguirre Cerda;1° dosis;195;Escolares de 1° a 5° año básico;Sur
Pedro Aguirre Cerda;2° dosis;1;Escolares de 1° a 5° año básico;Sur
Pedro Aguirre Cerda;Única;1694;Escolares de 1° a 5° año básico;Sur
Peñaflor;1° dosis;25;Escolares de 1° a 5° año básico;Occidente
Peñaflor;Única;953;Escolares de 1° a 5° año básico;Occidente
Peñalolén;1° dosis;467;Escolares de 1° a 5° año básico;Oriente
Peñalolén;2° dosis;2;Escolares de 1° a 5° año básico;Oriente
Peñalolén;Única;3293;Escolares de 1° a 5° año básico;Oriente
Pirque;Única;264;Escolares de 1° a 5° año básico;Suroriente
Providencia;1° dosis;134;Escolares de 1° a 5° año básico;Oriente
Providencia;2° dosis;1;Escolares de 1° a 5° año básico;Oriente
Providencia;Única;2070;Escolares de 1° a 5° año básico;Oriente
Pudahuel;1° dosis;198;Escolares de 1° a 5° año básico;Occidente
Pudahuel;2° dosis;1;Escolares de 1° a 5° año básico;Occidente
Pudahuel;Única;4330;Escolares de 1° a 5° año básico;Occidente
Puente Alto;1° dosis;460;Escolares de 1° a 5° año básico;Suroriente
Puente Alto;EPRO;1;Escolares de 1° a 5° año básico;Suroriente
Puente Alto;Única;7363;Escolares de 1° a 5° año básico;Suroriente
Quilicura;1° dosis;430;Escolares de 1° a 5° año básico;Norte
Quilicura;EPRO;1;Escolares de 1° a 5° año básico;Norte
Quilicura;Única;6315;Escolares de 1° a 5° año básico;Norte
Quinta Normal;1° dosis;1437;Escolares de 1° a 5° año básico;Occidente
Quinta Normal;Única;5700;Escolares de 1° a 5° año básico;Occidente
Recoleta;1° dosis;259;Escolares de 1° a 5° año básico;Norte
Recoleta;Única;2669;Escolares de 1° a 5° año básico;Norte
Renca;1° dosis;115;Escolares de 1° a 5° año básico;Occidente
Renca;EPRO;1;Escolares de 1° a 5° año básico;Occidente
Renca;Única;1228;Escolares de 1° a 5° año básico;Occidente
San Bernardo;1° dosis;522;Escolares de 1° a 5° año básico;Sur
San Bernardo;Única;5186;Escolares de 1° a 5° año básico;Sur
San Joaquín;1° dosis;217;Escolares de 1° a 5° año básico;Sur
San Joaquín;Única;1628;Escolares de 1° a 5° año básico;Sur
San José de Maipo;1° dosis;30;Escolares de 1° a 5° año básico;Suroriente
San José de Maipo;Única;334;Escolares de 1° a 5° año básico;Suroriente
San Miguel;1° dosis;175;Escolares de 1° a 5° año básico;Sur
San Miguel;EPRO;1;Escolares de 1° a 5° año básico;Sur
San Miguel;Única;2575;Escolares de 1° a 5° año básico;Sur
San Pedro;Única;45;Escolares de 1° a 5° año básico;Occidente
San Ramón;1° dosis;137;Escolares de 1° a 5° año básico;Suroriente
San Ramón;EPRO;1;Escolares de 1° a 5° año básico;Suroriente
San Ramón;Única;1879;Escolares de 1° a 5° año básico;Suroriente
Santiago;1° dosis;239;Escolares de 1° a 5° año básico;Central
Santiago;2° dosis;1;Escolares de 1° a 5° año básico;Central
Santiago;EPRO;1;Escolares de 1° a 5° año básico;Central
Santiago;Única;2934;Escolares de 1° a 5° año básico;Central
Talagante;1° dosis;96;Escolares de 1° a 5° año básico;Occidente
Talagante;Única;1285;Escolares de 1° a 5° año básico;Occidente
Tiltil;1° dosis;64;Escolares de 1° a 5° año básico;Norte
Tiltil;Única;673;Escolares de 1° a 5° año básico;Norte
Vitacura;1° dosis;271;Escolares de 1° a 5° año básico;Oriente
Vitacura;Única;3220;Escolares de 1° a 5° año básico;Oriente
Ñuñoa;1° dosis;20;Escolares de 1° a 5° año básico;Oriente
Ñuñoa;Única;762;Escolares de 1° a 5° año básico;Oriente
Alhué;Única;25;Embarazadas;Occidente
Buin;Única;298;Embarazadas;Sur
Calera de Tango;EPRO;1;Embarazadas;Sur
Calera de Tango;Única;44;Embarazadas;Sur
Cerrillos;EPRO;1;Embarazadas;Central
Cerrillos;Única;227;Embarazadas;Central
Cerro Navia;Única;250;Embarazadas;Occidente
Colina;Única;439;Embarazadas;Norte
Conchalí;Única;278;Embarazadas;Norte
Curacaví;Única;49;Embarazadas;Occidente
El Bosque;Única;475;Embarazadas;Sur
El Monte;Única;64;Embarazadas;Occidente
Estación Central;Única;409;Embarazadas;Central
Huechuraba;Única;248;Embarazadas;Norte
Independencia;Única;369;Embarazadas;Norte
Isla de Maipo;Única;101;Embarazadas;Occidente
La Cisterna;Única;191;Embarazadas;Sur
La Florida;Única;647;Embarazadas;Suroriente
La Granja;Única;335;Embarazadas;Suroriente
La Pintana;Única;310;Embarazadas;Suroriente
La Reina;Única;129;Embarazadas;Oriente
Lampa;Única;301;Embarazadas;Norte
Las Condes;Única;595;Embarazadas;Oriente
Lo Barnechea;Única;227;Embarazadas;Oriente
Lo Espejo;Única;225;Embarazadas;Sur
Lo Prado;Única;291;Embarazadas;Occidente
Macul;Única;245;Embarazadas;Oriente
Maipú;Única;911;Embarazadas;Central
María Pinto;Única;36;Embarazadas;Occidente
Melipilla;Única;499;Embarazadas;Occidente
Padre Hurtado;Única;111;Embarazadas;Occidente
Paine;Única;193;Embarazadas;Sur
Pedro Aguirre Cerda;Única;219;Embarazadas;Sur
Peñaflor;Única;172;Embarazadas;Occidente
Peñalolén;Única;479;Embarazadas;Oriente
Pirque;Única;54;Embarazadas;Suroriente
Providencia;Única;259;Embarazadas;Oriente
Pudahuel;Única;680;Embarazadas;Occidente
Puente Alto;Única;910;Embarazadas;Suroriente
Quilicura;Única;651;Embarazadas;Norte
Quinta Normal;Única;226;Embarazadas;Occidente
Recoleta;Única;381;Embarazadas;Norte
Renca;Única;352;Embarazadas;Occidente
San Bernardo;Única;446;Embarazadas;Sur
San Joaquín;Única;174;Embarazadas;Sur
San José de Maipo;Única;17;Embarazadas;Suroriente
San Miguel;Única;321;Embarazadas;Sur
San Pedro;Única;37;Embarazadas;Occidente
San Ramón;Única;125;Embarazadas;Suroriente
Santiago;Única;966;Embarazadas;Central
Talagante;Única;156;Embarazadas;Occidente
Tiltil;Única;49;Embarazadas;Norte
Vitacura;Única;218;Embarazadas;Oriente
Ñuñoa;Única;370;Embarazadas;Oriente
Alhué;Única;29;Otras prioridades;Occidente
Buin;Única;497;Otras prioridades;Sur
Calera de Tango;Única;55;Otras prioridades;Sur
Cerrillos;Única;16;Otras prioridades;Central
Cerro Navia;Única;23;Otras prioridades;Occidente
Colina;Única;84;Otras prioridades;Norte
Conchalí;Única;91;Otras prioridades;Norte
Curacaví;Única;3;Otras prioridades;Occidente
El Bosque;Única;32;Otras prioridades;Sur
El Monte;Única;24;Otras prioridades;Occidente
Estación Central;Única;54;Otras prioridades;Central
Huechuraba;Única;357;Otras prioridades;Norte
Independencia;Única;35;Otras prioridades;Norte
Isla de Maipo;Única;24;Otras prioridades;Occidente
La Cisterna;Única;42;Otras prioridades;Sur
La Florida;Única;108;Otras prioridades;Suroriente
La Granja;Única;83;Otras prioridades;Suroriente
La Pintana;Única;98;Otras prioridades;Suroriente
La Reina;Única;214;Otras prioridades;Oriente
Lampa;1° dosis;1;Otras prioridades;Norte
Lampa;Única;50;Otras prioridades;Norte
Las Condes;Única;1145;Otras prioridades;Oriente
Lo Barnechea;Única;109;Otras prioridades;Oriente
Lo Espejo;Única;190;Otras prioridades;Sur
Lo Prado;Única;23;Otras prioridades;Occidente
Macul;Única;318;Otras prioridades;Oriente
Maipú;Única;110;Otras prioridades;Central
María Pinto;Única;73;Otras prioridades;Occidente
Melipilla;Única;288;Otras prioridades;Occidente
Paine;Única;31;Otras prioridades;Sur
Pedro Aguirre Cerda;Única;82;Otras prioridades;Sur
Peñaflor;Única;51;Otras prioridades;Occidente
Peñalolén;Única;115;Otras prioridades;Oriente
Pirque;Única;9;Otras prioridades;Suroriente
Providencia;1° dosis;1;Otras prioridades;Oriente
Providencia;Única;590;Otras prioridades;Oriente
Pudahuel;Única;112;Otras prioridades;Occidente
Puente Alto;Única;464;Otras prioridades;Suroriente
Quilicura;Única;133;Otras prioridades;Norte
Quinta Normal;Única;21;Otras prioridades;Occidente
Recoleta;Única;4;Otras prioridades;Norte
Renca;Única;422;Otras prioridades;Occidente
San Bernardo;Única;256;Otras prioridades;Sur
San Joaquín;Única;1019;Otras prioridades;Sur
San José de Maipo;Única;12;Otras prioridades;Suroriente
San Miguel;Única;103;Otras prioridades;Sur
San Pedro;Única;2;Otras prioridades;Occidente
San Ramón;Única;183;Otras prioridades;Suroriente
Santiago;Única;1793;Otras prioridades;Central
Talagante;Única;64;Otras prioridades;Occidente
Tiltil;Única;106;Otras prioridades;Norte
Vitacura;Única;49;Otras prioridades;Oriente
Ñuñoa;Única;201;Otras prioridades;Oriente
Alhué;Única;3;P. de salud: Privado;Occidente
Buin;Única;247;P. de salud: Privado;Sur
Calera de Tango;Única;21;P. de salud: Privado;Sur
Cerrillos;Única;66;P. de salud: Privado;Central
Cerro Navia;Única;54;P. de salud: Privado;Occidente
Colina;Única;435;P. de salud: Privado;Norte
Conchalí;Única;84;P. de salud: Privado;Norte
Curacaví;Única;37;P. de salud: Privado;Occidente
El Bosque;Única;162;P. de salud: Privado;Sur
El Monte;Única;7;P. de salud: Privado;Occidente
Estación Central;Única;3480;P. de salud: Privado;Central
Huechuraba;Única;119;P. de salud: Privado;Norte
Independencia;Única;3529;P. de salud: Privado;Norte
Isla de Maipo;Única;17;P. de salud: Privado;Occidente
La Cisterna;Única;303;P. de salud: Privado;Sur
La Florida;Única;2502;P. de salud: Privado;Suroriente
La Granja;Única;86;P. de salud: Privado;Suroriente
La Pintana;Única;145;P. de salud: Privado;Suroriente
La Reina;Única;368;P. de salud: Privado;Oriente
Lampa;Única;47;P. de salud: Privado;Norte
Las Condes;Única;7910;P. de salud: Privado;Oriente
Lo Barnechea;Única;1189;P. de salud: Privado;Oriente
Lo Espejo;Única;43;P. de salud: Privado;Sur
Lo Prado;Única;54;P. de salud: Privado;Occidente
Macul;Única;827;P. de salud: Privado;Oriente
Maipú;Única;695;P. de salud: Privado;Central
María Pinto;Única;7;P. de salud: Privado;Occidente
Melipilla;Única;548;P. de salud: Privado;Occidente
Padre Hurtado;Única;56;P. de salud: Privado;Occidente
Paine;Única;65;P. de salud: Privado;Sur
Pedro Aguirre Cerda;Única;110;P. de salud: Privado;Sur
Peñaflor;Única;25;P. de salud: Privado;Occidente
Peñalolén;Única;366;P. de salud: Privado;Oriente
Pirque;Única;15;P. de salud: Privado;Suroriente
Providencia;EPRO;1;P. de salud: Privado;Oriente
Providencia;Única;7846;P. de salud: Privado;Oriente
Pudahuel;Única;243;P. de salud: Privado;Occidente
Puente Alto;EPRO;1;P. de salud: Privado;Suroriente
Puente Alto;Única;855;P. de salud: Privado;Suroriente
Quilicura;Única;124;P. de salud: Privado;Norte
Quinta Normal;Única;61;P. de salud: Privado;Occidente
Recoleta;Única;1979;P. de salud: Privado;Norte
Renca;Única;64;P. de salud: Privado;Occidente
San Bernardo;EPRO;2;P. de salud: Privado;Sur
San Bernardo;Única;560;P. de salud: Privado;Sur
San Joaquín;Única;65;P. de salud: Privado;Sur
San José de Maipo;Única;35;P. de salud: Privado;Suroriente
San Miguel;Única;369;P. de salud: Privado;Sur
San Ramón;Única;44;P. de salud: Privado;Suroriente
Santiago;Única;4884;P. de salud: Privado;Central
Talagante;Única;88;P. de salud: Privado;Occidente
Tiltil;Única;19;P. de salud: Privado;Norte
Vitacura;Única;3727;P. de salud: Privado;Oriente
Ñuñoa;Única;1487;P. de salud: Privado;Oriente
Alhué;Única;101;P. de salud: Público;Occidente
Buin;Única;1161;P. de salud: Público;Sur
Calera de Tango;Única;153;P. de salud: Público;Sur
Cerrillos;Única;271;P. de salud: Público;Central
Cerro Navia;Única;532;P. de salud: Público;Occidente
Colina;Única;680;P. de salud: Público;Norte
Conchalí;Única;822;P. de salud: Público;Norte
Curacaví;Única;222;P. de salud: Público;Occidente
El Bosque;Única;1529;P. de salud: Público;Sur
El Monte;Única;235;P. de salud: Público;Occidente
Estación Central;Única;798;P. de salud: Público;Central
Huechuraba;Única;677;P. de salud: Público;Norte
Independencia;Única;4991;P. de salud: Público;Norte
Isla de Maipo;Única;286;P. de salud: Público;Occidente
La Cisterna;Única;496;P. de salud: Público;Sur
La Florida;Única;3767;P. de salud: Público;Suroriente
La Granja;Única;711;P. de salud: Público;Suroriente
La Pintana;Única;745;P. de salud: Público;Suroriente
La Reina;Única;2527;P. de salud: Público;Oriente
Lampa;Única;506;P. de salud: Público;Norte
Las Condes;Única;1894;P. de salud: Público;Oriente
Lo Barnechea;Única;330;P. de salud: Público;Oriente
Lo Espejo;Única;638;P. de salud: Público;Sur
Lo Prado;Única;702;P. de salud: Público;Occidente
Macul;Única;654;P. de salud: Público;Oriente
Maipú;Única;3847;P. de salud: Público;Central
María Pinto;Única;98;P. de salud: Público;Occidente
Melipilla;Única;1616;P. de salud: Público;Occidente
Padre Hurtado;Única;226;P. de salud: Público;Occidente
Paine;Única;451;P. de salud: Público;Sur
Pedro Aguirre Cerda;Única;727;P. de salud: Público;Sur
Peñaflor;Única;879;P. de salud: Público;Occidente
Peñalolén;Única;2969;P. de salud: Público;Oriente
Pirque;Única;311;P. de salud: Público;Suroriente
Providencia;EPRO;1;P. de salud: Público;Oriente
Providencia;Única;7394;P. de salud: Público;Oriente
Pudahuel;Única;1445;P. de salud: Público;Occidente
Puente Alto;Única;6400;P. de salud: Público;Suroriente
Quilicura;Única;864;P. de salud: Público;Norte
Quinta Normal;Única;2908;P. de salud: Público;Occidente
Recoleta;Única;1134;P. de salud: Público;Norte
Renca;Única;1010;P. de salud: Público;Occidente
San Bernardo;Única;3301;P. de salud: Público;Sur
San Joaquín;Única;564;P. de salud: Público;Sur
San José de Maipo;Única;470;P. de salud: Público;Suroriente
San Miguel;Única;5245;P. de salud: Público;Sur
San Pedro;Única;110;P. de salud: Público;Occidente
San Ramón;EPRO;1;P. de salud: Público;Suroriente
San Ramón;Única;1993;P. de salud: Público;Suroriente
Santiago;EPRO;1;P. de salud: Público;Central
Santiago;Única;8470;P. de salud: Público;Central
Talagante;Única;913;P. de salud: Público;Occidente
Tiltil;Única;230;P. de salud: Público;Norte
Vitacura;Única;304;P. de salud: Público;Oriente
Ñuñoa;Única;858;P. de salud: Público;Oriente
Alhué;Única;2;Trabajadores de avícolas y de criaderos de cerdo;Occidente
Buin;Única;227;Trabajadores de avícolas y de criaderos de cerdo;Sur
Calera de Tango;Única;24;Trabajadores de avícolas y de criaderos de cerdo;Sur
Cerrillos;Única;190;Trabajadores de avícolas y de criaderos de cerdo;Central
Cerro Navia;Única;3;Trabajadores de avícolas y de criaderos de cerdo;Occidente
Colina;Única;145;Trabajadores de avícolas y de criaderos de cerdo;Norte
Conchalí;Única;1;Trabajadores de avícolas y de criaderos de cerdo;Norte
Curacaví;Única;54;Trabajadores de avícolas y de criaderos de cerdo;Occidente
El Bosque;Única;6;Trabajadores de avícolas y de criaderos de cerdo;Sur
El Monte;Única;721;Trabajadores de avícolas y de criaderos de cerdo;Occidente
Estación Central;Única;2;Trabajadores de avícolas y de criaderos de cerdo;Central
Huechuraba;Única;31;Trabajadores de avícolas y de criaderos de cerdo;Norte
Independencia;Única;3;Trabajadores de avícolas y de criaderos de cerdo;Norte
